00VS               20080711                                                                                   
0601VSA0d       20080101002410100000010000 0000000000002939   
0601VSA0d       20080101002420100000010000 0000000000002942   
0601VSA0d       20080101002430100000010000 0000000000002946   
0601VSA0d       20080101002440100000010000 0000000000002949   
0601VSA0d       20080101002450100000010000 0000000000002951   
0601VSA0d       20080101002460100000010000 0000000000002955   
0601VSA0d       20080101002470100000010000 0000000000002959   
0601VSA0d       20080101002480100000010000 0000000000002961   
0601VSA0d       20080101002490100000010000 0000000000002965   
0601VSA0d       20080101002500100000010000 0000000000002968   
0601VSA0d       20080101002510100000010000 0000000000002972   
0601VSA0d       20080101002520100000010000 0000000000002974   
0601VSA0d       20080101002530100000010000 0000000000002978   
0601VSA0d       20080101002540100000010000 0000000000002981   
0601VSA0d       20080101002550100000010000 0000000000002985   
0601VSA0d       20080101002560100000010000 0000000000002987   
0601VSA0d       20080101002570100000010000 0000000000002989   
0601VSA0d       20080101002580100000010000 0000000000002992   
0601VSA0d       20080101002590100000010000 0000000000002995   
0601VSA0d       20080101002600100000010000 0000000000002997   
0601VSA0d       20080101002610100000010000 0000000000003000   
0601VSA0d       20080101002620100000010000 0000000000003003   
0601VSA0d       20080101002630100000010000 0000000000003005   
0601VSA0d       20080101002640100000010000 0000000000003008   
0601VSA0d       20080101002650100000010000 0000000000003011   
0601VSA0d       20080101002660100000010000 0000000000003014   
0601VSA0d       20080101002670100000010000 0000000000003016   
0601VSA0d       20080101002680100000010000 0000000000003018   
0601VSA0d       20080101002690100000010000 0000000000003021   
0601VSA0d       20080101002700100000010000 0000000000003024   
0601VSA0d       20080101002710100000010000 0000000000003026   
0601VSA0d       20080101002720100000010000 0000000000003028   
0601VSA0d       20080101002730100000010000 0000000000003031   
0601VSA0d       20080101002740100000010000 0000000000003034   
0601VSA0d       20080101002750100000010000 0000000000003036   
0601VSA0d       20080101002760100000010000 0000000000003038   
0601VSA0d       20080101002770100000010000 0000000000003041   
0601VSA0d       20080101002780100000010000 0000000000003043   
0601VSA0d       20080101002790100000010000 0000000000003045   
0601VSA0d       20080101002800100000010000 0000000000003048   
0601VSA0d       20080101002810100000010000 0000000000003051   
0601VSA0d       20080101002820100000010000 0000000000003053   
0601VSA0d       20080101002830100000010000 0000000000003055   
0601VSA0d       20080101002840100000010000 0000000000003057   
0601VSA0d       20080101002850100000010000 0000000000003059   
0601VSA0d       20080101002860100000010000 0000000000003061   
0601VSA0d       20080101002870100000010000 0000000000003062   
0601VSA0d       20080101002880100000010000 0000000000003065   
0601VSA0d       20080101002890100000010000 0000000000003067   
0601VSA0d       20080101002900100000010000 0000000000003068   
0601VSA0d       20080101002910100000010000 0000000000003070   
0601VSA0d       20080101002920100000010000 0000000000003072   
0601VSA0d       20080101002930100000010000 0000000000003074   
0601VSA0d       20080101002940100000010000 0000000000003075   
0601VSA0d       20080101002950100000010000 0000000000003078   
0601VSA0d       20080101002960100000010000 0000000000003080   
0601VSA0d       20080101002970100000010000 0000000000003081   
0601VSA0d       20080101002980100000010000 0000000000003083   
0601VSA0d       20080101002990100000010000 0000000000003085   
0601VSA0d       20080101003000100000010000 0000000000003087   
0601VSA0d       20080101003010100000010000 0000000000003088   
0601VSA0d       20080101003020100000010000 0000000000003090   
0601VSA0d       20080101003030100000010000 0000000000003092   
0601VSA0d       20080101003040100000010000 0000000000003094   
0601VSA0d       20080101003050100000010000 0000000000003095   
0601VSA0d       20080101003060100000010000 0000000000003097   
0601VSA0d       20080101003070100000010000 0000000000003099   
0601VSA0d       20080101003080100000010000 0000000000003100   
0601VSA0d       20080101003090100000010000 0000000000003102   
0601VSA0d       20080101003100100000010000 0000000000003104   
0601VSA0d       20080101003110100000010000 0000000000003106   
0601VSA0d       20080101003120100000010000 0000000000003107   
0601VSA0d       20080101003130100000010000 0000000000003109   
0601VSA0d       20080101003140100000010000 0000000000003110   
0601VSA0d       20080101003150100000010000 0000000000003112   
0601VSA0d       20080101003160100000010000 0000000000003114   
0601VSA0d       20080101003170100000010000 0000000000003115   
0601VSA0d       20080101003180100000010000 0000000000003117   
0601VSA0d       20080101003190100000010000 0000000000003119   
0601VSA0d       20080101003200100000010000 0000000000003120   
0601VSA0d       20080101003210100000010000 0000000000003122   
0601VSA0d       20080101003220100000010000 0000000000003123   
0601VSA0d       20080101003230100000010000 0000000000003125   
0601VSA0d       20080101003240100000010000 0000000000003126   
0601VSA0d       20080101003250100000010000 0000000000003128   
0601VSA0d       20080101003260100000010000 0000000000003130   
0601VSA0d       20080101003270100000010000 0000000000003131   
0601VSA0d       20080101003280100000010000 0000000000003132   
0601VSA0d       20080101003290100000010000 0000000000003134   
0601VSA0d       20080101003300100000010000 0000000000003136   
0601VSA0d       20080101003310100000010000 0000000000003137   
0601VSA0d       20080101003320100000010000 0000000000003138   
0601VSA0d       20080101003330100000010000 0000000000003140   
0601VSA0d       20080101003340100000010000 0000000000003142   
0601VSA0d       20080101003350100000010000 0000000000003143   
0601VSA0d       20080101003360100000010000 0000000000003144   
0601VSA0d       20080101003370100000010000 0000000000003146   
0601VSA0d       20080101003380100000010000 0000000000003148   
0601VSA0d       20080101003390100000010000 0000000000003149   
0601VSA0d       20080101003400100000010000 0000000000003150   
0601VSA0d       20080101003410100000010000 0000000000003152   
0601VSA0d       20080101003420100000010000 0000000000003152   
0601VSA0d       20080101003430100000010000 0000000000003154   
0601VSA0d       20080101003440100000010000 0000000000003155   
0601VSA0d       20080101003450100000010000 0000000000003156   
0601VSA0d       20080101003460100000010000 0000000000003157   
0601VSA0d       20080101003470100000010000 0000000000003158   
0601VSA0d       20080101003480100000010000 0000000000003160   
0601VSA0d       20080101003490100000010000 0000000000003161   
0601VSA0d       20080101003500100000010000 0000000000003162   
0601VSA0d       20080101003510100000010000 0000000000003163   
0601VSA0d       20080101003520100000010000 0000000000003164   
0601VSA0d       20080101003530100000010000 0000000000003165   
0601VSA0d       20080101003540100000010000 0000000000003166   
0601VSA0d       20080101003550100000010000 0000000000003167   
0601VSA0d       20080101003560100000010000 0000000000003168   
0601VSA0d       20080101003570100000010000 0000000000003169   
0601VSA0d       20080101003580100000010000 0000000000003170   
0601VSA0d       20080101003590100000010000 0000000000003171   
0601VSA0d       20080101003600100000010000 0000000000003173   
0601VSA0d       20080101003610100000010000 0000000000003173   
0601VSA0d       20080101003620100000010000 0000000000003174   
0601VSA0d       20080101003630100000010000 0000000000003176   
0601VSA0d       20080101003640100000010000 0000000000003177   
0601VSA0d       20080101003650100000010000 0000000000003178   
0601VSA0d       20080101003660100000010000 0000000000003179   
0601VSA0d       20080101003670100000010000 0000000000003180   
0601VSA0d       20080101003680100000010000 0000000000003181   
0601VSA0d       20080101003690100000010000 0000000000003181   
0601VSA0d       20080101003700100000010000 0000000000003183   
0601VSA0d       20080101003710100000010000 0000000000003184   
0601VSA0d       20080101003720100000010000 0000000000003185   
0601VSA0d       20080101003730100000010000 0000000000003185   
0601VSA0d       20080101003740100000010000 0000000000003187   
0601VSA0d       20080101003750100000010000 0000000000003188   
0601VSA0d       20080101003760100000010000 0000000000003188   
0601VSA0d       20080101003770100000010000 0000000000003189   
0601VSA0d       20080101003780100000010000 0000000000003191   
0601VSA0d       20080101003790100000010000 0000000000003192   
0601VSA0d       20080101003800100000010000 0000000000003192   
0601VSA0d       20080101003810100000010000 0000000000003193   
0601VSA0d       20080101003820100000010000 0000000000003194   
