00VD               20071108                                                                                   
0601VDA0+       20080101001380100000005000 0000031949302315   
0601VDA0+       20080101001385100000005000 0000032148102321   
0601VDA0+       20080101001390100000005000 0000032319802325   
0601VDA0+       20080101001395100000005000 0000032491802329   
0601VDA0+       20080101001400100000005000 0000032692302335   
0601VDA0+       20080101001405100000005000 0000032865202339   
0601VDA0+       20080101001410100000005000 0000033038602343   
0601VDA0+       20080101001415100000005000 0000033240602349   
0601VDA0+       20080101001420100000005000 0000033414902353   
0601VDA0+       20080101001425100000005000 0000033618102359   
0601VDA0+       20080101001430100000005000 0000033793202363   
0601VDA0+       20080101001435100000005000 0000033968802367   
0601VDA0+       20080101001440100000005000 0000034173502373   
0601VDA0+       20080101001445100000005000 0000034335502376   
0601VDA0+       20080101001450100000005000 0000034512302380   
0601VDA0+       20080101001455100000005000 0000034718602386   
0601VDA0+       20080101001460100000005000 0000034896302390   
0601VDA0+       20080101001465100000005000 0000035059802393   
0601VDA0+       20080101001470100000005000 0000035267602399   
0601VDA0+       20080101001475100000005000 0000035431902402   
0601VDA0+       20080101001480100000005000 0000035640802408   
0601VDA0+       20080101001485100000005000 0000035820602412   
0601VDA0+       20080101001490100000005000 0000036000802416   
0601VDA0+       20080101001495100000005000 0000036211302422   
0601VDA0+       20080101001500100000005000 0000036377402425   
0601VDA0+       20080101001505100000005000 0000036558802429   
0601VDA0+       20080101001510100000005000 0000036770902435   
0601VDA0+       20080101001515100000005000 0000036953202439   
0601VDA0+       20080101001520100000005000 0000037151202444   
0601VDA0+       20080101001525100000005000 0000037334402448   
0601VDA0+       20080101001530100000005000 0000037518002452   
0601VDA0+       20080101001535100000005000 0000037717402457   
0601VDA0+       20080101001540100000005000 0000037901802461   
0601VDA0+       20080101001545100000005000 0000038071202464   
0601VDA0+       20080101001550100000005000 0000038287402470   
0601VDA0+       20080101001555100000005000 0000038457602473   
0601VDA0+       20080101001560100000005000 0000038643602477   
0601VDA0+       20080101001565100000005000 0000038845702482   
0601VDA0+       20080101001570100000005000 0000039016902485   
0601VDA0+       20080101001575100000005000 0000039235702491   
0601VDA0+       20080101001580100000005000 0000039407602494   
0601VDA0+       20080101001585100000005000 0000039579902497   
0601VDA0+       20080101001590100000005000 0000039800202503   
0601VDA0+       20080101001595100000005000 0000039973202506   
0601VDA0+       20080101001600100000005000 0000040146502509   
0601VDA0+       20080101001605100000005000 0000040368202515   
0601VDA0+       20080101001610100000005000 0000040542302518   
0601VDA0+       20080101001615100000005000 0000040716602521   
0601VDA0+       20080101001620100000005000 0000040923702526   
0601VDA0+       20080101001625100000005000 0000041098702529   
0601VDA0+       20080101001630100000005000 0000041306702534   
0601VDA0+       20080101001635100000005000 0000041482402537   
0601VDA0+       20080101001640100000005000 0000041658502540   
0601VDA0+       20080101001645100000005000 0000041867702545   
0601VDA0+       20080101001650100000005000 0000042061002549   
0601VDA0+       20080101001655100000005000 0000042238102552   
0601VDA0+       20080101001660100000005000 0000042465302558   
0601VDA0+       20080101001665100000005000 0000042643202561   
0601VDA0+       20080101001670100000005000 0000042871402567   
0601VDA0+       20080101001675100000005000 0000043050002570   
0601VDA0+       20080101001680100000005000 0000043245702574   
0601VDA0+       20080101001685100000005000 0000043458702579   
0601VDA0+       20080101001690100000005000 0000043655202583   
0601VDA0+       20080101001695100000005000 0000043835202586   
0601VDA0+       20080101001700100000005000 0000044049502591   
0601VDA0+       20080101001705100000005000 0000044247302595   
0601VDA0+       20080101001710100000005000 0000044428302598   
0601VDA0+       20080101001715100000005000 0000044644002603   
0601VDA0+       20080101001720100000005000 0000044825802606   
0601VDA0+       20080101001725100000005000 0000045059602612   
0601VDA0+       20080101001730100000005000 0000045242102615   
0601VDA0+       20080101001735100000005000 0000045424902618   
0601VDA0+       20080101001740100000005000 0000045660202624   
0601VDA0+       20080101001745100000005000 0000045843702627   
0601VDA0+       20080101001750100000005000 0000046027602630   
0601VDA0+       20080101001755100000005000 0000046264402636   
0601VDA0+       20080101001760100000005000 0000046449002639   
0601VDA0+       20080101001765100000005000 0000046633902642   
0601VDA0+       20080101001770100000005000 0000046872202648   
0601VDA0+       20080101001775100000005000 0000047057902651   
0601VDA0+       20080101001780100000005000 0000047279402656   
0601VDA0+       20080101001785100000005000 0000047483602660   
0601VDA0+       20080101001790100000005000 0000047670302663   
0601VDA0+       20080101001795100000005000 0000047893202668   
0601VDA0+       20080101001800100000005000 0000048080602671   
0601VDA0+       20080101001805100000005000 0000048268302674   
0601VDA0+       20080101001810100000005000 0000048492502679   
0601VDA0+       20080101001815100000005000 0000048699102683   
0601VDA0+       20080101001820100000005000 0000048924202688   
0601VDA0+       20080101001825100000005000 0000049113402691   
0601VDA0+       20080101001830100000005000 0000049302802694   
0601VDA0+       20080101001835100000005000 0000049529302699   
0601VDA0+       20080101001840100000005000 0000049719502702   
0601VDA0+       20080101001845100000005000 0000049909902705   
0601VDA0+       20080101001850100000005000 0000050137702710   
0601VDA0+       20080101001855100000005000 0000050328802713   
0601VDA0+       20080101001860100000005000 0000050520302716   
0601VDA0+       20080101001865100000005000 0000050749302721   
0601VDA0+       20080101001870100000005000 0000050941502724   
0601VDA0+       20080101001875100000005000 0000051152702728   
0601VDA0+       20080101001880100000005000 0000051345502731   
0601VDA0+       20080101001885100000005000 0000051538602734   
0601VDA0+       20080101001890100000005000 0000051769802739   
0601VDA0+       20080101001895100000005000 0000051963602742   
0601VDA0+       20080101001900100000005000 0000052157702745   
0601VDA0+       20080101001905100000005000 0000052371102749   
0601VDA0+       20080101001910100000005000 0000052565902752   
0601VDA0+       20080101001915100000005000 0000052799302757   
0601VDA0+       20080101001920100000005000 0000052975502759   
0601VDA0+       20080101001925100000005000 0000053171202762   
0601VDA0+       20080101001930100000005000 0000053405802767   
0601VDA0+       20080101001935100000005000 0000053582902769   
0601VDA0+       20080101001940100000005000 0000053779502772   
0601VDA0+       20080101001945100000005000 0000054015402777   
0601VDA0+       20080101001950100000005000 0000054193202779   
0601VDA0+       20080101001955100000005000 0000054390802782   
0601VDA0+       20080101001960100000005000 0000054627902787   
0601VDA0+       20080101001965100000005000 0000054806602789   
0601VDA0+       20080101001970100000005000 0000055044502794   
0601VDA0+       20080101001975100000005000 0000055223702796   
0601VDA0+       20080101001980100000005000 0000055422902799   
0601VDA0+       20080101001985100000005000 0000055642302803   
0601VDA0+       20080101001990100000005000 0000055842202806   
0601VDA0+       20080101001995100000005000 0000056022402808   
0601VDA0+       20080101002000100000050000 0000056562802828   
0601VDA0+       20080101002050100000050000 0000058653302861   
0601VDA0+       20080101002100100000050000 0000060713802891   
0601VDA0+       20080101002150100000050000 0000062804402921   
0601VDA0+       20080101002200100000050000 0000064902902950   
0601VDA0+       20080101002250100000050000 0000066962902976   
0601VDA0+       20080101002300100000050000 0000069118003005   
0601VDA0+       20080101002350100000050000 0000071255003032   
0601VDA0+       20080101002400100000050000 0000073371003057   
0601VDA0+       20080101002450100000050000 0000075512003082   
0601VDA0+       20080101002500100000050000 0000077678103107   
0601VDA0+       20080101002550100000050000 0000079792603129   
0601VDA0+       20080101002600100000050000 0000081981103153   
0601VDA0+       20080101002650100000050000 0000084193603177   
0601VDA0+       20080101002700100000050000 0000086349103198   
0601VDA0+       20080101002750100000050000 0000088553203220   
0601VDA0+       20080101002800100000050000 0000090751203241   
0601VDA0+       20080101002850100000050000 0000092913203260   
0601VDA0+       20080101002900100000050000 0000095123203280   
0601VDA0+       20080101002950100000050000 0000097323703299   
0601VDA0+       20080101003000100000050000 0000099483303316   
0601VDA0+       20080101003050100000050000 0000101690303334   
0601VDA0+       20080101003100100000050000 0000103884303351   
0601VDA0+       20080101003150100000050000 0000106063803367   
