00SH               20081219                                                                                   
0601SHA0d       20090101001730100000005000 0000039770002296   
0601SHA0d       20090101001735100000005000 0000039930002298   
0601SHA0d       20090101001740100000005000 0000040130002303   
0601SHA0d       20090101001745100000005000 0000040290002306   
0601SHA0d       20090101001750100000005000 0000040450002308   
0601SHA0d       20090101001755100000005000 0000040640002312   
0601SHA0d       20090101001760100000005000 0000040800002315   
0601SHA0d       20090101001765100000005000 0000040960002317   
0601SHA0d       20090101001770100000005000 0000041160002322   
0601SHA0d       20090101001775100000005000 0000041320002325   
0601SHA0d       20090101001780100000005000 0000041510002329   
0601SHA0d       20090101001785100000005000 0000041670002331   
0601SHA0d       20090101001790100000005000 0000041830002334   
0601SHA0d       20090101001795100000005000 0000042030002338   
0601SHA0d       20090101001800100000005000 0000042190002341   
0601SHA0d       20090101001805100000005000 0000042350002343   
0601SHA0d       20090101001810100000005000 0000042540002347   
0601SHA0d       20090101001815100000005000 0000042700002349   
0601SHA0d       20090101001820100000005000 0000042900002354   
0601SHA0d       20090101001825100000005000 0000043060002356   
0601SHA0d       20090101001830100000005000 0000043220002359   
0601SHA0d       20090101001835100000005000 0000043410002362   
0601SHA0d       20090101001840100000005000 0000043570002365   
0601SHA0d       20090101001845100000005000 0000043730002367   
0601SHA0d       20090101001850100000005000 0000043930002371   
0601SHA0d       20090101001855100000005000 0000044090002374   
0601SHA0d       20090101001860100000005000 0000044250002376   
0601SHA0d       20090101001865100000005000 0000044440002380   
0601SHA0d       20090101001870100000005000 0000044600002382   
0601SHA0d       20090101001875100000005000 0000044800002386   
0601SHA0d       20090101001880100000005000 0000044960002388   
0601SHA0d       20090101001885100000005000 0000045120002390   
0601SHA0d       20090101001890100000005000 0000045310002394   
0601SHA0d       20090101001895100000005000 0000045470002396   
0601SHA0d       20090101001900100000005000 0000045630002398   
0601SHA0d       20090101001905100000005000 0000045830002403   
0601SHA0d       20090101001910100000005000 0000045990002405   
0601SHA0d       20090101001915100000005000 0000046180002408   
0601SHA0d       20090101001920100000005000 0000046340002410   
0601SHA0d       20090101001925100000005000 0000046500002412   
0601SHA0d       20090101001930100000005000 0000046700002417   
0601SHA0d       20090101001935100000005000 0000046860002419   
0601SHA0d       20090101001940100000005000 0000047020002421   
0601SHA0d       20090101001945100000005000 0000047210002424   
0601SHA0d       20090101001950100000005000 0000047370002426   
0601SHA0d       20090101001955100000005000 0000047520002428   
0601SHA0d       20090101001960100000005000 0000047690002430   
0601SHA0d       20090101001965100000005000 0000047830002431   
0601SHA0d       20090101001970100000005000 0000048000002433   
0601SHA0d       20090101001975100000005000 0000048150002435   
0601SHA0d       20090101001980100000005000 0000048290002436   
0601SHA0d       20090101001985100000005000 0000048460002438   
0601SHA0d       20090101001990100000005000 0000048600002439   
0601SHA0d       20090101001995100000005000 0000048740002440   
0601SHA0d       20090101002000100000005000 0000048910002442   
0601SHA0d       20090101002005100000005000 0000049060002444   
0601SHA0d       20090101002010100000005000 0000049200002445   
0601SHA0d       20090101002015100000005000 0000049370002447   
0601SHA0d       20090101002020100000005000 0000049510002448   
0601SHA0d       20090101002025100000005000 0000049680002450   
0601SHA0d       20090101002030100000005000 0000049830002452   
0601SHA0d       20090101002035100000005000 0000049970002453   
0601SHA0d       20090101002040100000005000 0000050140002455   
0601SHA0d       20090101002045100000005000 0000050280002456   
0601SHA0d       20090101002050100000005000 0000050430002457   
0601SHA0d       20090101002055100000005000 0000050600002459   
0601SHA0d       20090101002060100000005000 0000050740002460   
0601SHA0d       20090101002065100000005000 0000050910002462   
0601SHA0d       20090101002070100000005000 0000051050002463   
0601SHA0d       20090101002075100000005000 0000051190002464   
0601SHA0d       20090101002080100000005000 0000051370002467   
0601SHA0d       20090101002085100000005000 0000051510002468   
0601SHA0d       20090101002090100000005000 0000051650002468   
0601SHA0d       20090101002095100000005000 0000051820002471   
0601SHA0d       20090101002100100000005000 0000051960002471   
0601SHA0d       20090101002105100000005000 0000052110002473   
0601SHA0d       20090101002110100000005000 0000052280002475   
0601SHA0d       20090101002115100000005000 0000052420002476   
0601SHA0d       20090101002120100000005000 0000052590002478   
