00BS               20080912                                                                                   
0601BSA1d       20090101000590100000010000 0100000000000750   
0601BSA1d       20090101000600100000010000 0100000000000778   
0601BSA1d       20090101000610100000010000 0100000000000801   
0601BSA1d       20090101000620100000010000 0100000000000824   
0601BSA1d       20090101000630100000010000 0100000000000849   
0601BSA1d       20090101000640100000010000 0100000000000871   
0601BSA1d       20090101000650100000010000 0100000000000895   
0601BSA1d       20090101000660100000010000 0100000000000916   
0601BSA1d       20090101000670100000010000 0100000000000938   
0601BSA1d       20090101000680100000010000 0100000000000957   
0601BSA1d       20090101000690100000010000 0100000000000979   
0601BSA1d       20090101000700100000010000 0100000000000997   
0601BSA1d       20090101000710100000010000 0100000000001014   
0601BSA1d       20090101000720100000010000 0100000000001034   
0601BSA1d       20090101000730100000010000 0100000000001051   
0601BSA1d       20090101000740100000010000 0100000000001069   
0601BSA1d       20090101000750100000010000 0100000000001085   
0601BSA1d       20090101000760100000010000 0100000000001103   
0601BSA1d       20090101000770100000010000 0100000000001118   
0601BSA1d       20090101000780100000010000 0100000000001135   
0601BSA1d       20090101000790100000010000 0100000000001149   
0601BSA1d       20090101000800100000010000 0100000000001165   
0601BSA1d       20090101000810100000010000 0100000000001183   
0601BSA1d       20090101000820100000010000 0100000000001199   
0601BSA1d       20090101000830100000010000 0100000000001217   
0601BSA1d       20090101000840100000010000 0100000000001232   
0601BSA1d       20090101000850100000010000 0100000000001250   
0601BSA1d       20090101000860100000010000 0100000000001265   
0601BSA1d       20090101000870100000010000 0100000000001282   
0601BSA1d       20090101000880100000010000 0100000000001297   
0601BSA1d       20090101000890100000010000 0100000000001311   
0601BSA1d       20090101000900100000010000 0100000000001327   
0601BSA1d       20090101000910100000010000 0100000000001340   
0601BSA1d       20090101000920100000010000 0100000000001355   
0601BSA1d       20090101000930100000010000 0100000000001368   
0601BSA1d       20090101000940100000010000 0100000000001382   
0601BSA1d       20090101000950100000010000 0100000000001394   
0601BSA1d       20090101000960100000010000 0100000000001407   
0601BSA1d       20090101000970100000010000 0100000000001419   
0601BSA1d       20090101000980100000010000 0100000000001430   
0601BSA1d       20090101000990100000010000 0100000000001443   
0601BSA1d       20090101001000100000050000 0100000000001476   
0601BSA1d       20090101001050100000050000 0100000000001530   
0601BSA1d       20090101001100100000050000 0100000000001586   
0601BSA1d       20090101001150100000050000 0100000000001642   
0601BSA1d       20090101001200100000050000 0100000000001693   
0601BSA1d       20090101001250100000050000 0100000000001739   
0601BSA1d       20090101001300100000050000 0100000000001783   
0601BSA1d       20090101001350100000050000 0100000000001825   
0601BSA1d       20090101001400100000050000 0100000000001870   
0601BSA1d       20090101001450100000050000 0100000000001911   
0601BSA1d       20090101001500100000050000 0100000000001949   
0601BSA1d       20090101001550100000050000 0100000000001986   
0601BSA1d       20090101001600100000050000 0100000000002019   
0601BSA1d       20090101001650100000050000 0100000000002051   
0601BSA1d       20090101001700100000050000 0100000000002082   
0601BSA1d       20090101001750100000050000 0100000000002115   
0601BSA1d       20090101001800100000050000 0100000000002147   
0601BSA1d       20090101001850100000050000 0100000000002177   
0601BSA1d       20090101001900100000050000 0100000000002206   
0601BSA1d       20090101001950100000050000 0100000000002233   
0601BSA1d       20090101002000100000050000 0100000000002259   
0601BSA1d       20090101002050100000050000 0100000000002284   
0601BSA1d       20090101002100100000050000 0100000000002307   
0601BSA1d       20090101002150100000050000 0100000000002330   
0601BSA1d       20090101002200100000050000 0100000000002351   
0601BSA1d       20090101002250100000050000 0100000000002371   
0601BSA1d       20090101002300100000050000 0100000000002396   
0601BSA1d       20090101002350100000050000 0100000000002419   
0601BSA1d       20090101002400100000050000 0100000000002441   
0601BSA1d       20090101002450100000050000 0100000000002463   
0601BSA1d       20090101002500100000050000 0100000000002483   
