00OW               20081103                                                                                   
0601OWA0d       20090101001405100000005000 0000020320001444   
0601OWA0d       20090101001410100000005000 0000020420001446   
0601OWA0d       20090101001415100000005000 0000020530001448   
0601OWA0d       20090101001420100000005000 0000020630001450   
0601OWA0d       20090101001425100000005000 0000020750001454   
0601OWA0d       20090101001430100000005000 0000020850001455   
0601OWA0d       20090101001435100000005000 0000020950001457   
0601OWA0d       20090101001440100000005000 0000021070001461   
0601OWA0d       20090101001445100000005000 0000021170001463   
0601OWA0d       20090101001450100000005000 0000021270001464   
0601OWA0d       20090101001455100000005000 0000021390001468   
0601OWA0d       20090101001460100000005000 0000021490001469   
0601OWA0d       20090101001465100000005000 0000021590001471   
0601OWA0d       20090101001470100000005000 0000021710001474   
0601OWA0d       20090101001475100000005000 0000021810001476   
0601OWA0d       20090101001480100000005000 0000021920001479   
0601OWA0d       20090101001485100000005000 0000022020001480   
0601OWA0d       20090101001490100000005000 0000022120001482   
0601OWA0d       20090101001495100000005000 0000022240001485   
0601OWA0d       20090101001500100000500000 0000027810001589   
0601OWA1d       20090101000000100000040000 0100000030000150   
0601OWA1d       20090101000040100000005000 0100000030000071   
0601OWA1d       20090101000045100000005000 0100000030000063   
0601OWA1d       20090101000050100000005000 0100000030000057   
0601OWA1d       20090101000055100000005000 0100000030000052   
0601OWA1d       20090101000060100000005000 0100000030000048   
0601OWA1d       20090101000065100000005000 0100000030000044   
0601OWA1d       20090101000070100000005000 0100000030000041   
0601OWA1d       20090101000075100000005000 0100000030000039   
0601OWA1d       20090101000080100000005000 0100000030000036   
0601OWA1d       20090101000085100000005000 0100000030000034   
0601OWA1d       20090101000090100000005000 0100000030000032   
0601OWA1d       20090101000095100000005000 0100000030000031   
0601OWA1d       20090101000100100000005000 0100000030000029   
0601OWA1d       20090101000105100000005000 0100000030000028   
0601OWA1d       20090101000110100000005000 0100000030000027   
0601OWA1d       20090101000115100000005000 0100000030000026   
0601OWA1d       20090101000120100000005000 0100000030000024   
0601OWA1d       20090101000125100000005000 0100000030000024   
0601OWA1d       20090101000130100000005000 0100000030000023   
0601OWA1d       20090101000135100000005000 0100000030000022   
0601OWA1d       20090101000140100000005000 0100000030000021   
0601OWA1d       20090101000145100000005000 0100000030000020   
0601OWA1d       20090101000150100000005000 0100000030000020   
0601OWA1d       20090101000155100000005000 0100000030000019   
0601OWA1d       20090101000160100000005000 0100000030000018   
0601OWA1d       20090101000165100000005000 0100000030000018   
0601OWA1d       20090101000170100000005000 0100000030000017   
0601OWA1d       20090101000175100000005000 0100000030000017   
0601OWA1d       20090101000180100000005000 0100000040000022   
0601OWA1d       20090101000185100000005000 0100000090000048   
0601OWA1d       20090101000190100000005000 0100000140000073   
0601OWA1d       20090101000195100000005000 0100000200000101   
0601OWA1d       20090101000200100000005000 0100000260000128   
0601OWA1d       20090101000205100000005000 0100000300000145   
0601OWA1d       20090101000210100000005000 0100000380000179   
0601OWA1d       20090101000215100000005000 0100000440000202   
0601OWA1d       20090101000220100000005000 0100000490000220   
0601OWA1d       20090101000225100000005000 0100000550000242   
0601OWA1d       20090101000230100000005000 0100000610000262   
0601OWA1d       20090101000235100000005000 0100000660000278   
0601OWA1d       20090101000240100000005000 0100000720000297   
0601OWA1d       20090101000245100000005000 0100000780000315   
0601OWA1d       20090101000250100000005000 0100000830000329   
0601OWA1d       20090101000255100000005000 0100000880000342   
0601OWA1d       20090101000260100000005000 0100000940000358   
0601OWA1d       20090101000265100000005000 0100001000000374   
0601OWA1d       20090101000270100000005000 0100001050000385   
0601OWA1d       20090101000275100000005000 0100001110000400   
0601OWA1d       20090101000280100000005000 0100001170000414   
0601OWA1d       20090101000285100000005000 0100001220000424   
0601OWA1d       20090101000290100000005000 0100001280000438   
0601OWA1d       20090101000295100000005000 0100001340000450   
0601OWA1d       20090101000300100000005000 0100001400000463   
0601OWA1d       20090101000305100000005000 0100001450000472   
