00TI               20081223                                                                                   
0601TIA0d       20090101002360100000005000 0000000000002490   
0601TIA0d       20090101002365100000005000 0000000000002490   
0601TIA0d       20090101002370100000005000 0000000000002490   
0601TIA0d       20090101002375100000005000 0000000000002490   
0601TIA0d       20090101002380100000005000 0000000000002490   
0601TIA0d       20090101002385100000005000 0000000000002500   
0601TIA0d       20090101002390100000005000 0000000000002500   
0601TIA0d       20090101002395100000005000 0000000000002500   
0601TIA0d       20090101002400100000005000 0000000000002500   
0601TIA0d       20090101002405100000005000 0000000000002500   
0601TIA0d       20090101002410100000005000 0000000000002510   
0601TIA0d       20090101002415100000005000 0000000000002510   
0601TIA0d       20090101002420100000005000 0000000000002510   
0601TIA0d       20090101002425100000005000 0000000000002510   
0601TIA0d       20090101002430100000005000 0000000000002510   
0601TIA0d       20090101002435100000005000 0000000000002520   
0601TIA0d       20090101002440100000005000 0000000000002520   
0601TIA0d       20090101002445100000005000 0000000000002520   
0601TIA0d       20090101002450100000005000 0000000000002520   
0601TIA0d       20090101002455100000005000 0000000000002520   
0601TIA0d       20090101002460100000005000 0000000000002530   
0601TIA0d       20090101002465100000005000 0000000000002530   
0601TIA0d       20090101002470100000005000 0000000000002530   
0601TIA0d       20090101002475100000005000 0000000000002530   
0601TIA0d       20090101002480100000005000 0000000000002530   
0601TIA0d       20090101002485100000005000 0000000000002540   
0601TIA0d       20090101002490100000005000 0000000000002540   
0601TIA0d       20090101002495100000005000 0000000000002540   
0601TIA0d       20090101002500100000005000 0000000000002540   
0601TIA0d       20090101002505100000005000 0000000000002540   
0601TIA0d       20090101002510100000005000 0000000000002540   
0601TIA0d       20090101002515100000005000 0000000000002550   
0601TIA0d       20090101002520100000005000 0000000000002550   
0601TIA0d       20090101002525100000005000 0000000000002550   
0601TIA0d       20090101002530100000005000 0000000000002550   
0601TIA0d       20090101002535100000005000 0000000000002550   
0601TIA0d       20090101002540100000005000 0000000000002560   
0601TIA0d       20090101002545100000005000 0000000000002560   
0601TIA0d       20090101002550100000005000 0000000000002560   
0601TIA0d       20090101002555100000005000 0000000000002560   
0601TIA0d       20090101002560100000005000 0000000000002560   
0601TIA0d       20090101002565100000005000 0000000000002560   
0601TIA0d       20090101002570100000005000 0000000000002570   
0601TIA0d       20090101002575100000005000 0000000000002570   
0601TIA0d       20090101002580100000005000 0000000000002570   
0601TIA0d       20090101002585100000005000 0000000000002570   
0601TIA0d       20090101002590100000005000 0000000000002570   
0601TIA0d       20090101002595100000005000 0000000000002580   
0601TIA0d       20090101002600100000005000 0000000000002580   
0601TIA0d       20090101002605100000005000 0000000000002580   
