00AR               20071130                                                                                   
0601ARA1d       20080101001220100000005000 0100018620001523   
0601ARA1d       20080101001225100000005000 0100018750001527   
0601ARA1d       20080101001230100000005000 0100018860001530   
0601ARA1d       20080101001235100000005000 0100019000001535   
0601ARA1d       20080101001240100000005000 0100019110001538   
0601ARA1d       20080101001245100000005000 0100019230001541   
0601ARA1d       20080101001250100000005000 0100019360001546   
0601ARA1d       20080101001255100000005000 0100019480001549   
0601ARA1d       20080101001260100000005000 0100019600001552   
0601ARA1d       20080101001265100000005000 0100019740001557   
0601ARA1d       20080101001270100000005000 0100019860001561   
0601ARA1d       20080101001275100000005000 0100020000001566   
0601ARA1d       20080101001280100000005000 0100020120001569   
0601ARA1d       20080101001285100000005000 0100020240001572   
0601ARA1d       20080101001290100000005000 0100020390001578   
0601ARA1d       20080101001295100000005000 0100020510001581   
0601ARA1d       20080101001300100000005000 0100020630001584   
0601ARA1d       20080101001305100000005000 0100020770001589   
0601ARA1d       20080101001310100000005000 0100020890001592   
0601ARA1d       20080101001315100000005000 0100021010001595   
0601ARA1d       20080101001320100000005000 0100021160001600   
0601ARA1d       20080101001325100000005000 0100021290001604   
0601ARA1d       20080101001330100000005000 0100021430001608   
0601ARA1d       20080101001335100000005000 0100021560001612   
0601ARA1d       20080101001340100000005000 0100021680001615   
0601ARA1d       20080101001345100000005000 0100021830001620   
0601ARA1d       20080101001350100000005000 0100021950001623   
0601ARA1d       20080101001355100000005000 0100022080001627   
0601ARA1d       20080101001360100000005000 0100022230001632   
0601ARA1d       20080101001365100000005000 0100022360001635   
0601ARA1d       20080101001370100000005000 0100022510001640   
0601ARA1d       20080101001375100000005000 0100022640001644   
0601ARA1d       20080101001380100000005000 0100022760001646   
0601ARA1d       20080101001385100000005000 0100022920001652   
