00BL               20081110                                                                                   
0601BLA0d       20090101001660100000005000 0000040090002411   
0601BLA0d       20090101001665100000005000 0000040270002415   
0601BLA0d       20090101001670100000005000 0000040460002419   
0601BLA0d       20090101001675100000005000 0000040640002423   
0601BLA0d       20090101001680100000005000 0000040830002427   
0601BLA0d       20090101001685100000005000 0000041020002431   
0601BLA0d       20090101001690100000005000 0000041200002434   
0601BLA0d       20090101001695100000005000 0000041380002438   
0601BLA0d       20090101001700100000005000 0000041570002442   
0601BLA0d       20090101001705100000005000 0000041760002446   
0601BLA0d       20090101001710100000005000 0000041940002449   
0601BLA0d       20090101001715100000005000 0000042130002453   
0601BLA0d       20090101001720100000005000 0000042310002456   
0601BLA0d       20090101001725100000005000 0000042500002460   
0601BLA0d       20090101001730100000005000 0000042690002464   
0601BLA0d       20090101001735100000005000 0000042870002467   
0601BLA0d       20090101001740100000005000 0000043060002471   
0601BLA0d       20090101001745100000005000 0000043240002474   
0601BLA0d       20090101001750100000005000 0000043420002478   
0601BLA0d       20090101001755100000005000 0000043620002482   
0601BLA0d       20090101001760100000005000 0000043800002485   
0601BLA0d       20090101001765100000005000 0000043980002488   
0601BLA0d       20090101001770100000005000 0000044170002492   
0601BLA0d       20090101001775100000005000 0000044350002495   
0601BLA0d       20090101001780100000005000 0000044550002499   
0601BLA0d       20090101001785100000005000 0000044730002502   
0601BLA0d       20090101001790100000005000 0000044910002505   
0601BLA0d       20090101001795100000005000 0000045100002509   
0601BLA0d       20090101001800100000005000 0000045290002513   
0601BLA0d       20090101001805100000005000 0000045470002516   
0601BLA0d       20090101001810100000005000 0000045660002519   
0601BLA0d       20090101001815100000005000 0000045840002522   
0601BLA0d       20090101001820100000005000 0000046040002526   
0601BLA0d       20090101001825100000005000 0000046220002529   
0601BLA0d       20090101001830100000005000 0000046400002532   
0601BLA0d       20090101001835100000005000 0000046590002536   
0601BLA0d       20090101001840100000005000 0000046780002539   
0601BLA0d       20090101001845100000005000 0000046960002542   
0601BLA0d       20090101001850100000005000 0000047150002545   
0601BLA0d       20090101001855100000005000 0000047330002548   
0601BLA0d       20090101001860100000005000 0000047520002551   
0601BLA0d       20090101001865100000005000 0000047710002555   
0601BLA0d       20090101001870100000005000 0000047890002558   
0601BLA0d       20090101001875100000005000 0000048090002561   
0601BLA0d       20090101001880100000005000 0000048270002564   
0601BLA0d       20090101001885100000005000 0000048450002567   
0601BLA0d       20090101001890100000005000 0000048640002570   
0601BLA0d       20090101001895100000005000 0000048830002573   
0601BLA0d       20090101001900100000005000 0000049010002576   
0601BLA0d       20090101001905100000005000 0000049200002579   
0601BLA0d       20090101001910100000005000 0000049380002582   
0601BLA0d       20090101001915100000005000 0000049580002586   
0601BLA0d       20090101001920100000005000 0000049760002588   
0601BLA0d       20090101001925100000005000 0000049940002591   
0601BLA0d       20090101001930100000005000 0000050140002595   
0601BLA0d       20090101001935100000005000 0000050320002597   
0601BLA0d       20090101001940100000005000 0000050500002600   
0601BLA0d       20090101001945100000005000 0000050700002603   
0601BLA0d       20090101001950100000005000 0000050880002606   
0601BLA0d       20090101001955100000005000 0000051060002608   
0601BLA0d       20090101001960100000005000 0000051250002611   
0601BLA0d       20090101001965100000005000 0000051440002614   
0601BLA0d       20090101001970100000005000 0000051630002617   
0601BLA0d       20090101001975100000005000 0000051810002620   
0601BLA0d       20090101001980100000005000 0000052000002623   
0601BLA0d       20090101001985100000005000 0000052190002626   
0601BLA0d       20090101001990100000005000 0000052370002628   
0601BLA0d       20090101001995100000005000 0000052560002631   
0601BLA0d       20090101002000100000500000 0000000000002756   
0601BLA0d       20090101002500100000500000 0000000000002940   
0601BLA0d       20090101003000100007000000 0000000000003471   
0601BLA0+       20090101000000100000120000 0000000010000009   
0601BLA0+       20090101000120100000005000 0000000010000008   
0601BLA0+       20090101000125100000005000 0000000020000016   
0601BLA0+       20090101000130100000005000 0000000020000015   
0601BLA0+       20090101000135100000005000 0000000020000015   
0601BLA0+       20090101000140100000005000 0000000020000014   
0601BLA0+       20090101000145100000005000 0000000020000014   
0601BLA0+       20090101000150100000005000 0000000020000013   
0601BLA0+       20090101000155100000005000 0000000020000013   
0601BLA0+       20090101000160100000005000 0000000030000018   
0601BLA0+       20090101000165100000005000 0000000030000018   
0601BLA0+       20090101000170100000005000 0000000030000017   
0601BLA0+       20090101000175100000005000 0000000030000017   
0601BLA0+       20090101000180100000005000 0000000030000016   
0601BLA0+       20090101000185100000005000 0000000030000016   
0601BLA0+       20090101000190100000005000 0000000030000016   
0601BLA0+       20090101000195100000005000 0000000030000015   
0601BLA0+       20090101000200100000005000 0000000170000084   
0601BLA0+       20090101000205100000005000 0000000210000101   
0601BLA0+       20090101000210100000005000 0000000270000127   
0601BLA0+       20090101000215100000005000 0000000320000147   
0601BLA0+       20090101000220100000005000 0000000360000162   
0601BLA0+       20090101000225100000005000 0000000410000180   
0601BLA0+       20090101000230100000005000 0000000460000198   
0601BLA0+       20090101000235100000005000 0000000510000215   
0601BLA0+       20090101000240100000005000 0000000560000231   
0601BLA0+       20090101000245100000005000 0000000620000251   
0601BLA0+       20090101000250100000005000 0000000670000265   
0601BLA0+       20090101000255100000005000 0000000730000283   
0601BLA0+       20090101000260100000005000 0000000790000301   
0601BLA0+       20090101000265100000005000 0000000850000318   
0601BLA0+       20090101000270100000005000 0000000910000334   
0601BLA0+       20090101000275100000005000 0000000970000350   
0601BLA0+       20090101000280100000005000 0000001040000368   
0601BLA0+       20090101000285100000005000 0000001110000386   
0601BLA0+       20090101000290100000005000 0000001170000400   
0601BLA0+       20090101000295100000005000 0000001240000417   
0601BLA0+       20090101000300100000005000 0000001310000433   
0601BLA0+       20090101000305100000005000 0000001380000449   
0601BLA0+       20090101000310100000005000 0000001460000467   
0601BLA0+       20090101000315100000005000 0000001530000482   
0601BLA0+       20090101000320100000005000 0000001610000499   
0601BLA0+       20090101000325100000005000 0000001680000513   
0601BLA0+       20090101000330100000005000 0000001760000529   
0601BLA0+       20090101000335100000005000 0000001840000545   
0601BLA0+       20090101000340100000005000 0000001920000561   
0601BLA0+       20090101000345100000005000 0000002000000576   
0601BLA0+       20090101000350100000005000 0000002080000590   
0601BLA0+       20090101000355100000005000 0000002170000607   
0601BLA0+       20090101000360100000005000 0000002250000621   
0601BLA0+       20090101000365100000005000 0000002330000634   
0601BLA0+       20090101000370100000005000 0000002420000650   
0601BLA0+       20090101000375100000005000 0000002510000665   
0601BLA0+       20090101000380100000005000 0000002600000680   
0601BLA0+       20090101000385100000005000 0000002690000694   
0601BLA0+       20090101000390100000005000 0000002780000708   
0601BLA0+       20090101000395100000005000 0000002870000722   
0601BLA0+       20090101000400100000005000 0000002960000735   
0601BLA0+       20090101000405100000005000 0000003050000748   
0601BLA0+       20090101000410100000005000 0000003150000764   
0601BLA0+       20090101000415100000005000 0000003240000776   
0601BLA0+       20090101000420100000005000 0000003340000791   
0601BLA0+       20090101000425100000005000 0000003430000802   
0601BLA0+       20090101000430100000005000 0000003540000818   
0601BLA0+       20090101000435100000005000 0000003640000832   
0601BLA0+       20090101000440100000005000 0000003750000847   
0601BLA0+       20090101000445100000005000 0000003860000863   
0601BLA0+       20090101000450100000005000 0000003970000877   
0601BLA0+       20090101000455100000005000 0000004070000890   
0601BLA0+       20090101000460100000005000 0000004180000904   
0601BLA0+       20090101000465100000005000 0000004290000918   
0601BLA0+       20090101000470100000005000 0000004400000931   
0601BLA0+       20090101000475100000005000 0000004510000945   
0601BLA0+       20090101000480100000005000 0000004620000958   
0601BLA0+       20090101000485100000005000 0000004730000970   
0601BLA0+       20090101000490100000005000 0000004850000985   
0601BLA0+       20090101000495100000005000 0000004960000997   
0601BLA0+       20090101000500100000005000 0000005070001009   
0601BLA0+       20090101000505100000005000 0000005180001021   
0601BLA0+       20090101000510100000005000 0000005300001034   
0601BLA0+       20090101000515100000005000 0000005410001045   
0601BLA0+       20090101000520100000005000 0000005520001056   
0601BLA0+       20090101000525100000005000 0000005640001069   
0601BLA0+       20090101000530100000005000 0000005750001080   
0601BLA0+       20090101000535100000005000 0000005860001090   
0601BLA0+       20090101000540100000005000 0000005980001102   
0601BLA0+       20090101000545100000005000 0000006090001112   
0601BLA0+       20090101000550100000005000 0000006210001124   
0601BLA0+       20090101000555100000005000 0000006320001134   
0601BLA0+       20090101000560100000005000 0000006440001145   
0601BLA0+       20090101000565100000005000 0000006560001156   
0601BLA0+       20090101000570100000005000 0000006680001167   
0601BLA0+       20090101000575100000005000 0000006790001176   
0601BLA0+       20090101000580100000005000 0000006910001186   
0601BLA0+       20090101000585100000005000 0000007030001197   
0601BLA0+       20090101000590100000005000 0000007150001207   
0601BLA0+       20090101000595100000005000 0000007270001217   
0601BLA0+       20090101000600100000005000 0000007390001227   
0601BLA0+       20090101000605100000005000 0000007510001236   
0601BLA0+       20090101000610100000005000 0000007630001246   
0601BLA0+       20090101000615100000005000 0000007750001255   
0601BLA0+       20090101000620100000005000 0000007870001264   
0601BLA0+       20090101000625100000005000 0000007990001273   
0601BLA0+       20090101000630100000005000 0000008110001282   
0601BLA0+       20090101000635100000005000 0000008230001291   
0601BLA0+       20090101000640100000005000 0000008360001301   
0601BLA0+       20090101000645100000005000 0000008480001310   
0601BLA0+       20090101000650100000005000 0000008600001318   
0601BLA0+       20090101000655100000005000 0000008720001326   
0601BLA0+       20090101000660100000005000 0000008840001334   
0601BLA0+       20090101000665100000005000 0000008970001344   
0601BLA0+       20090101000670100000005000 0000009090001352   
0601BLA0+       20090101000675100000005000 0000009210001359   
0601BLA0+       20090101000680100000005000 0000009340001368   
0601BLA0+       20090101000685100000005000 0000009460001376   
0601BLA0+       20090101000690100000005000 0000009580001383   
0601BLA0+       20090101000695100000005000 0000009710001392   
0601BLA0+       20090101000700100000005000 0000009830001399   
0601BLA0+       20090101000705100000005000 0000009960001408   
0601BLA0+       20090101000710100000005000 0000010080001415   
0601BLA0+       20090101000715100000005000 0000010210001423   
0601BLA0+       20090101000720100000005000 0000010350001433   
0601BLA0+       20090101000725100000005000 0000010480001441   
0601BLA0+       20090101000730100000005000 0000010620001450   
0601BLA0+       20090101000735100000005000 0000010760001459   
0601BLA0+       20090101000740100000005000 0000010900001468   
0601BLA0+       20090101000745100000005000 0000011040001477   
0601BLA0+       20090101000750100000005000 0000011180001486   
0601BLA0+       20090101000755100000005000 0000011320001494   
0601BLA0+       20090101000760100000005000 0000011460001503   
0601BLA0+       20090101000765100000005000 0000011600001511   
0601BLA0+       20090101000770100000005000 0000011740001520   
0601BLA0+       20090101000775100000005000 0000011890001529   
0601BLA0+       20090101000780100000005000 0000012030001537   
0601BLA0+       20090101000785100000005000 0000012170001545   
0601BLA0+       20090101000790100000005000 0000012320001555   
0601BLA0+       20090101000795100000005000 0000012460001562   
0601BLA0+       20090101000800100000005000 0000012600001570   
0601BLA0+       20090101000805100000005000 0000012750001579   
0601BLA0+       20090101000810100000005000 0000012890001586   
0601BLA0+       20090101000815100000005000 0000013040001595   
0601BLA0+       20090101000820100000005000 0000013180001602   
0601BLA0+       20090101000825100000005000 0000013330001611   
0601BLA0+       20090101000830100000005000 0000013470001618   
0601BLA0+       20090101000835100000005000 0000013620001626   
0601BLA0+       20090101000840100000005000 0000013760001633   
0601BLA0+       20090101000845100000005000 0000013910001641   
0601BLA0+       20090101000850100000005000 0000014060001649   
0601BLA0+       20090101000855100000005000 0000014200001656   
0601BLA0+       20090101000860100000005000 0000014350001664   
0601BLA0+       20090101000865100000005000 0000014490001670   
0601BLA0+       20090101000870100000005000 0000014650001679   
0601BLA0+       20090101000875100000005000 0000014790001685   
0601BLA0+       20090101000880100000005000 0000014940001693   
0601BLA0+       20090101000885100000005000 0000015090001700   
0601BLA0+       20090101000890100000005000 0000015240001708   
