00AI               20071204                                                                                   
0601AIA0d       20080101001540100000005000 0000027890001808   
0601AIA0d       20080101001545100000005000 0000028030001811   
0601AIA0d       20080101001550100000005000 0000028160001814   
0601AIA0d       20080101001555100000005000 0000028300001817   
0601AIA0d       20080101001560100000005000 0000028430001820   
0601AIA0d       20080101001565100000005000 0000028570001823   
0601AIA0d       20080101001570100000005000 0000028710001826   
0601AIA0d       20080101001575100000005000 0000028840001828   
0601AIA0d       20080101001580100000005000 0000028970001831   
0601AIA0d       20080101001585100000005000 0000029110001834   
0601AIA0d       20080101001590100000005000 0000029250001837   
0601AIA0d       20080101001595100000005000 0000029390001840   
0601AIA0d       20080101001600100000005000 0000029510001841   
0601AIA0d       20080101001605100000005000 0000029650001844   
0601AIA0d       20080101001610100000005000 0000029790001847   
0601AIA0d       20080101001615100000005000 0000029910001849   
0601AIA0d       20080101001620100000005000 0000030050001852   
0601AIA0d       20080101001625100000005000 0000030190001855   
0601AIA0d       20080101001630100000005000 0000030330001858   
0601AIA0d       20080101001635100000005000 0000030450001860   
0601AIA0d       20080101001640100000005000 0000030590001862   
0601AIA0d       20080101001645100000005000 0000030730001865   
0601AIA0d       20080101001650100000005000 0000030870001868   
0601AIA0d       20080101001655100000005000 0000031000001870   
0601AIA0d       20080101001660100000005000 0000031130001872   
0601AIA0d       20080101001665100000005000 0000031270001875   
0601AIA0d       20080101001670100000005000 0000031410001878   
0601AIA0d       20080101001675100000005000 0000031540001880   
0601AIA0d       20080101001680100000005000 0000031680001883   
0601AIA0d       20080101001685100000005000 0000031810001885   
0601AIA0d       20080101001690100000005000 0000031940001887   
0601AIA0d       20080101001695100000005000 0000032080001890   
0601AIA0d       20080101001700100000100000 0000033500001914   
0601AIA0d       20080101001800100000100000 0000036210001957   
0601AIA0d       20080101001900100000100000 0000038900001995   
0601AIA0d       20080101002000100000100000 0000041530002026   
0601AIA0d       20080101002100100000100000 0000044150002053   
0601AIA0d       20080101002200100000100000 0000046750002078   
0601AIA0d       20080101002300100000100000 0000049370002101   
0601AIA0d       20080101002400100000100000 0000051980002122   
0601AIA0d       20080101002500100000100000 0000054590002141   
0601AIA0d       20080101002600100000100000 0000057200002158   
0601AIA0d       20080101002700100000100000 0000059820002175   
0601AIA0d       20080101002800100000100000 0000062420002190   
0601AIA0d       20080101002900100000100000 0000065040002205   
0601AIA0d       20080101003000100000100000 0000067650002218   
0601AIA0d       20080101003100100000100000 0000070260002230   
0601AIA0d       20080101003200100000100000 0000072870002242   
0601AIA0d       20080101003300100000100000 0000075490002253   
0601AIA0d       20080101003400100000100000 0000078090002263   
0601AIA0d       20080101003500100000100000 0000080710002274   
0601AIA0d       20080101003600100000100000 0000083330002283   
0601AIA0d       20080101003700100000100000 0000085940002292   
0601AIA0d       20080101003800100000100000 0000088540002300   
0601AIA0d       20080101003900100000100000 0000091160002308   
0601AIA0d       20080101004000100000100000 0000093780002316   
0601AIA0d       20080101004100100000100000 0000096380002322   
0601AIA0d       20080101004200100000100000 0000099000002329   
0601AIA0d       20080101004300100000100000 0000101610002336   
0601AIA0d       20080101004400100000100000 0000104210002342   
0601AIA0d       20080101004500100000100000 0000106830002348   
0601AIA0d       20080101004600100000100000 0000109450002354   
0601AIA0d       20080101004700100000100000 0000112050002359   
0601AIA0d       20080101004800100000100000 0000114670002364   
0601AIA0d       20080101004900100000100000 0000117280002369   
0601AIA0d       20080101005000100000100000 0000119890002374   
0601AIA0d       20080101005100100000100000 0000122500002379   
0601AIA0d       20080101005200100000100000 0000125120002383   
0601AIA0d       20080101005300100000100000 0000127720002387   
0601AIA0d       20080101005400100000100000 0000130340002392   
0601AIA0d       20080101005500100000100000 0000132950002395   
0601AIA0d       20080101005600100000100000 0000135560002399   
0601AIA0d       20080101005700100000100000 0000138170002403   
0601AIA0d       20080101005800100000100000 0000140790002407   
0601AIA0d       20080101005900100000100000 0000143390002410   
0601AIA0d       20080101006000100000100000 0000146010002413   
0601AIA0d       20080101006100100000100000 0000148620002417   
0601AIA0d       20080101006200100000100000 0000151170002419   
0601AIA0d       20080101006300100000100000 0000153620002419   
0601AIA0d       20080101006400100000100000 0000156080002420   
0601AIA0d       20080101006500100000100000 0000158550002421   
0601AIA0d       20080101006600100000100000 0000161000002421   
0601AIA0d       20080101006700100000100000 0000163460002422   
0601AIA0d       20080101006800100000100000 0000165930002422   
0601AIA0d       20080101006900100000100000 0000168380002423   
0601AIA0d       20080101007000100000100000 0000170840002423   
0601AIA0d       20080101007100100000100000 0000173310002424   
0601AIA0d       20080101007200100000100000 0000175760002424   
0601AIA0d       20080101007300100000100000 0000178220002425   
0601AIA0d       20080101007400100000100000 0000180690002425   
0601AIA0d       20080101007500100000100000 0000183140002426   
0601AIA0d       20080101007600100000100000 0000185600002426   
0601AIA0d       20080101007700100000100000 0000188070002427   
0601AIA0d       20080101007800100000100000 0000190520002427   
0601AIA0d       20080101007900100000100000 0000192980002427   
0601AIA0d       20080101008000100000100000 0000195450002428   
0601AIA0d       20080101008100100000100000 0000197900002428   
0601AIA0d       20080101008200100000100000 0000200360002429   
0601AIA0d       20080101008300100000100000 0000202820002429   
0601AIA0d       20080101008400100000100000 0000205280002429   
0601AIA0d       20080101008500100000100000 0000207740002430   
0601AIA0d       20080101008600100000100000 0000210200002430   
0601AIA0d       20080101008700100000100000 0000212670002431   
0601AIA0d       20080101008800100000100000 0000215120002431   
0601AIA0d       20080101008900100000100000 0000217580002431   
0601AIA0d       20080101009000100000100000 0000220040002431   
0601AIA0d       20080101009100100000100000 0000222500002432   
0601AIA0d       20080101009200100000100000 0000224960002432   
0601AIA0d       20080101009300100000100000 0000227420002432   
0601AIA0d       20080101009400100000100000 0000229880002433   
0601AIA0d       20080101009500100000100000 0000232340002433   
0601AIA0d       20080101009600100000100000 0000234800002433   
0601AIA0d       20080101009700100000100000 0000237250002433   
0601AIA0d       20080101009800100000100000 0000239720002434   
0601AIA0d       20080101009900100000100000 0000242180002434   
0601AIA0d       20080101010000100000100000 0000244630002434   
0601AIA0d       20080101010100100000100000 0000247100002434   
0601AIA0d       20080101010200100000100000 0000249560002435   
0601AIA0d       20080101010300100000100000 0000252010002435   
0601AIA0d       20080101010400100000100000 0000254480002435   
0601AIA0d       20080101010500100000100000 0000256940002435   
0601AIA0d       20080101010600100000100000 0000259390002436   
0601AIA0d       20080101010700100000100000 0000261860002436   
0601AIA0d       20080101010800100000100000 0000264320002436   
0601AIA0d       20080101010900100000100000 0000266770002436   
0601AIA0d       20080101011000100000100000 0000269240002437   
0601AIA0d       20080101011100100000100000 0000271700002437   
0601AIA0d       20080101011200100000100000 0000274160002437   
0601AIA0d       20080101011300100000100000 0000276620002437   
0601AIA0d       20080101011400100000100000 0000279080002437   
0601AIA0d       20080101011500100000100000 0000281540002438   
0601AIA0d       20080101011600100000100000 0000284000002438   
0601AIA0d       20080101011700100000100000 0000286460002438   
0601AIA0d       20080101011800100000100000 0000288920002438   
0601AIA0d       20080101011900100000100000 0000291370002438   
0601AIA0d       20080101012000100000100000 0000293840002439   
0601AIA0d       20080101012100100000100000 0000296300002439   
0601AIA0d       20080101012200100000100000 0000298750002439   
0601AIA0d       20080101012300100000100000 0000301220002439   
0601AIA0d       20080101012400100000100000 0000303680002439   
0601AIA0d       20080101012500100000100000 0000306130002439   
0601AIA0d       20080101012600100000100000 0000308590002439   
0601AIA0d       20080101012700100000100000 0000311060002440   
0601AIA1d       20080101000000100000020000 0100000000000000   
0601AIA1d       20080101000020100000005000 0100000000000000   
0601AIA1d       20080101000025100000005000 0100000000000000   
0601AIA1d       20080101000030100000005000 0100000000000000   
0601AIA1d       20080101000035100000005000 0100000000000000   
0601AIA1d       20080101000040100000005000 0100000000000000   
0601AIA1d       20080101000045100000005000 0100000000000000   
0601AIA1d       20080101000050100000005000 0100000000000000   
0601AIA1d       20080101000055100000005000 0100000000000000   
0601AIA1d       20080101000060100000005000 0100000000000000   
0601AIA1d       20080101000065100000005000 0100000000000000   
0601AIA1d       20080101000070100000005000 0100000000000000   
0601AIA1d       20080101000075100000005000 0100000000000000   
0601AIA1d       20080101000080100000005000 0100000000000000   
0601AIA1d       20080101000085100000005000 0100000000000000   
0601AIA1d       20080101000090100000005000 0100000000000000   
0601AIA1d       20080101000095100000005000 0100000010000010   
0601AIA1d       20080101000100100000005000 0100000020000020   
0601AIA1d       20080101000105100000005000 0100000030000028   
0601AIA1d       20080101000110100000005000 0100000040000036   
0601AIA1d       20080101000115100000005000 0100000050000043   
0601AIA1d       20080101000120100000005000 0100000060000049   
0601AIA1d       20080101000125100000005000 0100000070000055   
0601AIA1d       20080101000130100000005000 0100000090000068   
0601AIA1d       20080101000135100000005000 0100000110000080   
0601AIA1d       20080101000140100000005000 0100000120000084   
0601AIA1d       20080101000145100000005000 0100000140000095   
0601AIA1d       20080101000150100000005000 0100000160000105   
0601AIA1d       20080101000155100000005000 0100000190000121   
0601AIA1d       20080101000160100000005000 0100000210000129   
0601AIA1d       20080101000165100000005000 0100000240000143   
0601AIA1d       20080101000170100000005000 0100000260000151   
0601AIA1d       20080101000175100000005000 0100000290000163   
0601AIA1d       20080101000180100000005000 0100000310000170   
0601AIA1d       20080101000185100000005000 0100000350000187   
0601AIA1d       20080101000190100000005000 0100000380000197   
0601AIA1d       20080101000195100000005000 0100000410000208   
0601AIA1d       20080101000200100000005000 0100000440000217   
0601AIA1d       20080101000205100000005000 0100000470000227   
0601AIA1d       20080101000210100000005000 0100000500000235   
0601AIA1d       20080101000215100000005000 0100000540000248   
0601AIA1d       20080101000220100000005000 0100000580000261   
0601AIA1d       20080101000225100000005000 0100000630000277   
0601AIA1d       20080101000230100000005000 0100000660000284   
0601AIA1d       20080101000235100000005000 0100000700000295   
0601AIA1d       20080101000240100000005000 0100000740000305   
0601AIA1d       20080101000245100000005000 0100000780000315   
0601AIA1d       20080101000250100000005000 0100000830000329   
0601AIA1d       20080101000255100000005000 0100000880000342   
0601AIA1d       20080101000260100000005000 0100000930000354   
0601AIA1d       20080101000265100000005000 0100000970000363   
0601AIA1d       20080101000270100000005000 0100001050000385   
0601AIA1d       20080101000275100000005000 0100001100000396   
0601AIA1d       20080101000280100000005000 0100001150000407   
0601AIA1d       20080101000285100000005000 0100001200000417   
0601AIA1d       20080101000290100000005000 0100001260000431   
0601AIA1d       20080101000295100000005000 0100001320000444   
0601AIA1d       20080101000300100000005000 0100001370000453   
0601AIA1d       20080101000305100000005000 0100001440000468   
0601AIA1d       20080101000310100000005000 0100001500000480   
0601AIA1d       20080101000315100000005000 0100001550000488   
0601AIA1d       20080101000320100000005000 0100001610000499   
0601AIA1d       20080101000325100000005000 0100001670000510   
0601AIA1d       20080101000330100000005000 0100001730000520   
0601AIA1d       20080101000335100000005000 0100001790000530   
0601AIA1d       20080101000340100000005000 0100001850000540   
0601AIA1d       20080101000345100000005000 0100001920000553   
0601AIA1d       20080101000350100000005000 0100001970000559   
0601AIA1d       20080101000355100000005000 0100002040000571   
0601AIA1d       20080101000360100000005000 0100002100000579   
0601AIA1d       20080101000365100000005000 0100002170000590   
0601AIA1d       20080101000370100000005000 0100002220000596   
0601AIA1d       20080101000375100000005000 0100002290000607   
0601AIA1d       20080101000380100000005000 0100002360000617   
0601AIA1d       20080101000385100000005000 0100002420000625   
0601AIA1d       20080101000390100000005000 0100002490000634   
0601AIA1d       20080101000395100000005000 0100002560000644   
0601AIA1d       20080101000400100000005000 0100002630000653   
0601AIA1d       20080101000405100000005000 0100002690000660   
0601AIA1d       20080101000410100000005000 0100002760000669   
0601AIA1d       20080101000415100000005000 0100002830000678   
0601AIA1d       20080101000420100000005000 0100002890000684   
0601AIA1d       20080101000425100000005000 0100002960000692   
0601AIA1d       20080101000430100000005000 0100003030000701   
0601AIA1d       20080101000435100000005000 0100003100000709   
0601AIA1d       20080101000440100000005000 0100003160000714   
0601AIA1d       20080101000445100000005000 0100003230000722   
0601AIA1d       20080101000450100000005000 0100003300000729   
