00ZH               20071005                                                                                   
0601ZHA1d       20080101000180100000005000 0100000020000011   
0601ZHA1d       20080101000185100000005000 0100000020000011   
0601ZHA1d       20080101000190100000005000 0100000020000010   
0601ZHA1d       20080101000195100000005000 0100000020000010   
0601ZHA1d       20080101000200100000005000 0100000020000010   
0601ZHA1d       20080101000205100000005000 0100000020000010   
0601ZHA1d       20080101000210100000005000 0100000020000009   
0601ZHA1d       20080101000215100000005000 0100000020000009   
0601ZHA1d       20080101000220100000005000 0100000020000009   
0601ZHA1d       20080101000225100000005000 0100000020000009   
0601ZHA1d       20080101000230100000005000 0100000030000013   
0601ZHA1d       20080101000235100000005000 0100000050000021   
0601ZHA1d       20080101000240100000005000 0100000070000029   
0601ZHA1d       20080101000245100000005000 0100000080000032   
0601ZHA1d       20080101000250100000005000 0100000100000040   
0601ZHA1d       20080101000255100000005000 0100000120000047   
0601ZHA1d       20080101000260100000005000 0100000140000053   
0601ZHA1d       20080101000265100000005000 0100000160000060   
0601ZHA1d       20080101000270100000005000 0100000170000062   
0601ZHA1d       20080101000275100000005000 0100000220000079   
0601ZHA1d       20080101000280100000005000 0100000250000088   
0601ZHA1d       20080101000285100000005000 0100000280000097   
0601ZHA1d       20080101000290100000005000 0100000310000106   
0601ZHA1d       20080101000295100000005000 0100000340000114   
0601ZHA1d       20080101000300100000005000 0100000370000122   
0601ZHA1d       20080101000305100000005000 0100000400000130   
0601ZHA1d       20080101000310100000005000 0100000430000138   
0601ZHA1d       20080101000315100000005000 0100000460000145   
0601ZHA1d       20080101000320100000005000 0100000500000155   
0601ZHA1d       20080101000325100000005000 0100000540000165   
0601ZHA1d       20080101000330100000005000 0100000580000174   
0601ZHA1d       20080101000335100000005000 0100000620000184   
0601ZHA1d       20080101000340100000005000 0100000660000193   
0601ZHA1d       20080101000345100000005000 0100000690000199   
0601ZHA1d       20080101000350100000005000 0100000730000207   
0601ZHA1d       20080101000355100000005000 0100000770000215   
0601ZHA1d       20080101000360100000005000 0100000810000223   
0601ZHA1d       20080101000365100000005000 0100000850000231   
0601ZHA1d       20080101000370100000005000 0100000890000239   
0601ZHA1d       20080101000375100000005000 0100000930000246   
0601ZHA1d       20080101000380100000005000 0100000960000251   
0601ZHA1d       20080101000385100000005000 0100001010000261   
