00UR               20081210                                                                                   
0601URA0d       20090101001915100000005000 0000033590001752   
0601URA0d       20090101001920100000005000 0000033710001753   
0601URA0d       20090101001925100000005000 0000033820001755   
0601URA0d       20090101001930100000005000 0000033960001757   
0601URA0d       20090101001935100000005000 0000034080001759   
0601URA0d       20090101001940100000005000 0000034200001761   
0601URA0d       20090101001945100000005000 0000034340001763   
0601URA0d       20090101001950100000005000 0000034450001764   
0601URA0d       20090101001955100000005000 0000034570001766   
0601URA0d       20090101001960100000005000 0000034710001769   
0601URA0d       20090101001965100000005000 0000034830001770   
0601URA0d       20090101001970100000005000 0000034970001773   
0601URA0d       20090101001975100000005000 0000035080001774   
0601URA0d       20090101001980100000005000 0000035200001776   
0601URA0d       20090101001985100000005000 0000035340001778   
0601URA0d       20090101001990100000005000 0000035460001780   
0601URA0d       20090101001995100000005000 0000035570001781   
0601URA0d       20090101002000100000005000 0000035710001783   
0601URA0d       20090101002005100000005000 0000035830001785   
0601URA0d       20090101002010100000005000 0000035950001786   
0601URA0d       20090101002015100000005000 0000036090001789   
0601URA0d       20090101002020100000005000 0000036200001790   
0601URA0d       20090101002025100000005000 0000036340001792   
0601URA0d       20090101002030100000005000 0000036460001794   
0601URA0d       20090101002035100000005000 0000036570001795   
0601URA0d       20090101002040100000005000 0000036710001797   
0601URA0d       20090101002045100000005000 0000036830001799   
0601URA0d       20090101002050100000005000 0000036950001800   
0601URA0d       20090101002055100000005000 0000037090001803   
0601URA0d       20090101002060100000005000 0000037200001804   
0601URA0d       20090101002065100000005000 0000037340001806   
0601URA0d       20090101002070100000005000 0000037460001807   
0601URA0d       20090101002075100000005000 0000037580001809   
0601URA0d       20090101002080100000005000 0000037720001811   
0601URA0d       20090101002085100000005000 0000037830001812   
0601URA0d       20090101002090100000005000 0000037950001814   
0601URA0d       20090101002095100000005000 0000038090001816   
0601URA0d       20090101002100100000005000 0000038210001817   
0601URA0d       20090101002105100000005000 0000038320001818   
0601URA0d       20090101002110100000005000 0000038460001821   
0601URA0d       20090101002115100000005000 0000038580001822   
0601URA0d       20090101002120100000005000 0000038720001824   
0601URA0d       20090101002125100000005000 0000038830001825   
0601URA0d       20090101002130100000005000 0000038950001826   
0601URA0d       20090101002135100000005000 0000039090001829   
0601URA0d       20090101002140100000005000 0000039210001830   
0601URA0d       20090101002145100000005000 0000039320001831   
0601URA0d       20090101002150100000005000 0000039460001833   
0601URA0d       20090101002155100000005000 0000039580001835   
0601URA0d       20090101002160100000005000 0000039700001836   
0601URA0d       20090101002165100000005000 0000039840001838   
0601URA0d       20090101002170100000005000 0000039950001839   
0601URA0d       20090101002175100000005000 0000040090001841   
0601URA0d       20090101002180100000005000 0000040210001842   
0601URA0d       20090101002185100000005000 0000040330001844   
0601URA0d       20090101002190100000005000 0000040470001846   
0601URA0d       20090101002195100000005000 0000040580001847   
0601URA0d       20090101002200100000005000 0000040700001848   
0601URA0d       20090101002205100000005000 0000040840001850   
0601URA0d       20090101002210100000005000 0000040960001851   
0601URA0d       20090101002215100000005000 0000041100001853   
0601URA0d       20090101002220100000005000 0000041210001854   
0601URA0d       20090101002225100000005000 0000041330001855   
0601URA0d       20090101002230100000005000 0000041470001858   
0601URA0d       20090101002235100000005000 0000041580001858   
0601URA0d       20090101002240100000005000 0000041700001860   
0601URA0d       20090101002245100000005000 0000041840001862   
0601URA0d       20090101002250100000005000 0000041960001863   
0601URA0d       20090101002255100000005000 0000042070001864   
0601URA0d       20090101002260100000005000 0000042210001866   
0601URA0d       20090101002265100000005000 0000042330001867   
0601URA0d       20090101002270100000005000 0000042470001869   
0601URA0d       20090101002275100000005000 0000042590001870   
0601URA0d       20090101002280100000005000 0000042700001871   
0601URA0d       20090101002285100000005000 0000042840001873   
0601URA0d       20090101002290100000005000 0000042960001874   
0601URA0d       20090101002295100000005000 0000043080001875   
0601URA0d       20090101002300100000005000 0000043220001877   
