00SZ               20081218                                                                                   
0601SZA0d       20090101001935100000005000 0000027680001429   
0601SZA0d       20090101001940100000005000 0000027780001430   
0601SZA0d       20090101001945100000005000 0000027890001432   
0601SZA0d       20090101001950100000005000 0000028000001434   
0601SZA0d       20090101001955100000005000 0000028110001436   
0601SZA0d       20090101001960100000005000 0000028220001438   
0601SZA0d       20090101001965100000005000 0000028320001439   
0601SZA0d       20090101001970100000005000 0000028440001442   
0601SZA0d       20090101001975100000005000 0000028540001443   
0601SZA0d       20090101001980100000005000 0000028640001445   
0601SZA0d       20090101001985100000005000 0000028770001448   
0601SZA0d       20090101001990100000005000 0000028860001448   
0601SZA0d       20090101001995100000005000 0000028960001450   
0601SZA0d       20090101002000100000005000 0000029090001453   
0601SZA0d       20090101002005100000005000 0000029180001454   
0601SZA0d       20090101002010100000005000 0000029290001455   
0601SZA0d       20090101002015100000005000 0000029410001458   
0601SZA0d       20090101002020100000005000 0000029500001459   
0601SZA0d       20090101002025100000005000 0000029630001461   
0601SZA0d       20090101002030100000005000 0000029730001463   
0601SZA0d       20090101002035100000005000 0000029820001464   
0601SZA0d       20090101002040100000005000 0000029950001466   
0601SZA0d       20090101002045100000005000 0000030040001467   
0601SZA0d       20090101002050100000005000 0000030160001469   
0601SZA0d       20090101002055100000005000 0000030270001471   
0601SZA0d       20090101002060100000005000 0000030370001472   
0601SZA0d       20090101002065100000005000 0000030490001475   
0601SZA0d       20090101002070100000005000 0000030590001476   
0601SZA0d       20090101002075100000005000 0000030690001477   
0601SZA0d       20090101002080100000005000 0000030810001479   
0601SZA0d       20090101002085100000005000 0000030920001481   
0601SZA0d       20090101002090100000005000 0000031010001482   
0601SZA0d       20090101002095100000005000 0000031130001484   
0601SZA0d       20090101002100100000005000 0000031240001486   
0601SZA0d       20090101002105100000005000 0000031340001487   
0601SZA0d       20090101002110100000005000 0000031460001489   
0601SZA0d       20090101002115100000005000 0000031560001490   
0601SZA0d       20090101002120100000005000 0000031670001492   
0601SZA0d       20090101002125100000005000 0000031780001494   
0601SZA0d       20090101002130100000005000 0000031880001495   
0601SZA0d       20090101002135100000005000 0000032000001497   
0601SZA0d       20090101002140100000005000 0000032100001498   
0601SZA0d       20090101002145100000005000 0000032200001499   
0601SZA0d       20090101002150100000005000 0000032320001502   
0601SZA0d       20090101002155100000005000 0000032420001503   
0601SZA0d       20090101002160100000005000 0000032530001504   
0601SZA0d       20090101002165100000005000 0000032640001506   
0601SZA0d       20090101002170100000005000 0000032740001507   
0601SZA0d       20090101002175100000005000 0000032860001509   
