00LU               20081107                                                                                   
0601LUA0d       20090101002440100000005000 0000057070002337   
0601LUA0d       20090101002445100000005000 0000057220002338   
0601LUA0d       20090101002450100000005000 0000057390002340   
0601LUA0d       20090101002455100000005000 0000057540002341   
0601LUA0d       20090101002460100000005000 0000057720002344   
0601LUA0d       20090101002465100000005000 0000057860002345   
0601LUA0d       20090101002470100000005000 0000058010002346   
0601LUA0d       20090101002475100000005000 0000058190002349   
0601LUA0d       20090101002480100000005000 0000058330002350   
0601LUA0d       20090101002485100000005000 0000058480002351   
0601LUA0d       20090101002490100000005000 0000058660002353   
0601LUA0d       20090101002495100000005000 0000058800002354   
0601LUA0d       20090101002500100000005000 0000058950002356   
0601LUA0d       20090101002505100000005000 0000059130002358   
0601LUA0d       20090101002510100000005000 0000059270002359   
0601LUA0d       20090101002515100000005000 0000059450002361   
0601LUA0d       20090101002520100000005000 0000059600002363   
0601LUA0d       20090101002525100000005000 0000059740002364   
0601LUA0d       20090101002530100000005000 0000059920002366   
0601LUA0d       20090101002535100000005000 0000060070002367   
0601LUA0d       20090101002540100000005000 0000060210002368   
0601LUA0d       20090101002545100000005000 0000060390002371   
0601LUA0d       20090101002550100000005000 0000060540002372   
0601LUA0d       20090101002555100000005000 0000060680002373   
0601LUA0d       20090101002560100000005000 0000060860002375   
0601LUA0d       20090101002565100000005000 0000061010002376   
0601LUA0d       20090101002570100000005000 0000061180002378   
0601LUA0d       20090101002575100000005000 0000061330002379   
0601LUA0d       20090101002580100000005000 0000061480002381   
0601LUA0d       20090101002585100000005000 0000061650002383   
0601LUA0d       20090101002590100000005000 0000061800002384   
0601LUA0d       20090101002595100000005000 0000061950002385   
0601LUA0d       20090101002600100000005000 0000062120002387   
0601LUA0d       20090101002605100000005000 0000062270002388   
0601LUA0d       20090101002610100000005000 0000062450002390   
0601LUA0d       20090101002615100000005000 0000062590002391   
0601LUA0d       20090101002620100000005000 0000062740002392   
0601LUA0d       20090101002625100000005000 0000062920002395   
0601LUA0d       20090101002630100000005000 0000063060002395   
0601LUA0d       20090101002635100000005000 0000063210002397   
0601LUA0d       20090101002640100000005000 0000063390002399   
0601LUA0d       20090101002645100000005000 0000063530002400   
0601LUA0d       20090101002650100000005000 0000063680002401   
0601LUA0d       20090101002655100000005000 0000063860002403   
0601LUA0d       20090101002660100000005000 0000064000002404   
0601LUA0d       20090101002665100000005000 0000064180002406   
0601LUA0d       20090101002670100000005000 0000064330002407   
0601LUA0d       20090101002675100000005000 0000064470002408   
0601LUA0d       20090101002680100000005000 0000064650002410   
0601LUA0d       20090101002685100000005000 0000064800002411   
0601LUA0d       20090101002690100000005000 0000064940002412   
0601LUA0d       20090101002695100000005000 0000065120002414   
0601LUA0d       20090101002700100000005000 0000065270002415   
0601LUA0d       20090101002705100000005000 0000065410002416   
0601LUA0d       20090101002710100000005000 0000065590002418   
0601LUA0d       20090101002715100000005000 0000065740002419   
0601LUA0d       20090101002720100000005000 0000065910002421   
0601LUA0d       20090101002725100000005000 0000066060002422   
0601LUA0d       20090101002730100000005000 0000066210002423   
0601LUA0d       20090101002735100000005000 0000066380002425   
0601LUA0d       20090101002740100000005000 0000066530002426   
0601LUA0d       20090101002745100000005000 0000066680002427   
0601LUA0d       20090101002750100000005000 0000066850002429   
0601LUA0d       20090101002755100000005000 0000067000002430   
0601LUA0d       20090101002760100000005000 0000067180002432   
0601LUA0d       20090101002765100000005000 0000067320002433   
0601LUA0d       20090101002770100000005000 0000067470002434   
0601LUA0d       20090101002775100000005000 0000067650002436   
0601LUA0d       20090101002780100000005000 0000067790002436   
0601LUA0d       20090101002785100000005000 0000067940002437   
0601LUA0d       20090101002790100000005000 0000068120002439   
