00GL               20090106                                                                                   
0601GLA1d       20090101000760100000005000 0100009178501204   
0601GLA1d       20090101000765100000005000 0100009293001210   
0601GLA1d       20090101000770100000005000 0100009409001218   
0601GLA1d       20090101000775100000005000 0100009526001226   
0601GLA1d       20090101000780100000005000 0100009643501232   
0601GLA1d       20090101000785100000005000 0100009760501239   
0601GLA1d       20090101000790100000005000 0100009877501247   
0601GLA1d       20090101000795100000005000 0100009995001254   
0601GLA1d       20090101000800100000005000 0100010112001260   
0601GLA1d       20090101000805100000005000 0100010229501267   
0601GLA1d       20090101000810100000005000 0100010346501274   
0601GLA1d       20090101000815100000005000 0100010464001280   
0601GLA1d       20090101000820100000005000 0100010581001286   
0601GLA1d       20090101000825100000005000 0100010698001293   
0601GLA1d       20090101000830100000005000 0100010815501300   
0601GLA1d       20090101000835100000005000 0100010932501305   
0601GLA1d       20090101000840100000005000 0100011050001312   
0601GLA1d       20090101000845100000005000 0100011167001318   
0601GLA1d       20090101000850100000005000 0100011284001323   
0601GLA1d       20090101000855100000005000 0100011401501329   
0601GLA1d       20090101000860100000005000 0100011518501336   
0601GLA1d       20090101000865100000005000 0100011636001342   
0601GLA1d       20090101000870100000005000 0100011776501350   
0601GLA1d       20090101000875100000005000 0100011893501355   
0601GLA1d       20090101000880100000005000 0100012011001361   
0601GLA1d       20090101000885100000005000 0100012128001367   
0601GLA1d       20090101000890100000005000 0100012245501373   
0601GLA1d       20090101000895100000005000 0100012362501377   
0601GLA1d       20090101000900100000005000 0100012479501383   
0601GLA1d       20090101000905100000005000 0100012597001388   
0601GLA1d       20090101000910100000005000 0100012714001393   
0601GLA1d       20090101000915100000005000 0100012831501398   
0601GLA1d       20090101000920100000005000 0100012948501404   
0601GLA1d       20090101000925100000005000 0100013066001409   
0601GLA1d       20090101000930100000005000 0100013183001413   
0601GLA1d       20090101000935100000005000 0100013300001419   
0601GLA1d       20090101000940100000005000 0100013417501424   
0601GLA1d       20090101000945100000005000 0100013534501428   
0601GLA1d       20090101000950100000005000 0100013652001433   
0601GLA1d       20090101000955100000005000 0100013769001438   
0601GLA1d       20090101000960100000005000 0100013886501443   
