00SG               20081219                                                                                   
0601SGA1d       20090101000950100000005000 0100014290001500   
0601SGA1d       20090101000955100000005000 0100014430001507   
0601SGA1d       20090101000960100000005000 0100014560001513   
0601SGA1d       20090101000965100000005000 0100014680001517   
0601SGA1d       20090101000970100000005000 0100014810001523   
0601SGA1d       20090101000975100000005000 0100014950001529   
0601SGA1d       20090101000980100000005000 0100015080001535   
0601SGA1d       20090101000985100000005000 0100015200001539   
0601SGA1d       20090101000990100000005000 0100015330001545   
0601SGA1d       20090101000995100000005000 0100015460001550   
0601SGA1d       20090101001000100000005000 0100015600001556   
0601SGA1d       20090101001005100000005000 0100015730001561   
0601SGA1d       20090101001010100000005000 0100015850001565   
0601SGA1d       20090101001015100000005000 0100015980001571   
0601SGA1d       20090101001020100000005000 0100016120001577   
0601SGA1d       20090101001025100000005000 0100016250001582   
0601SGA1d       20090101001030100000005000 0100016370001585   
0601SGA1d       20090101001035100000005000 0100016500001590   
0601SGA1d       20090101001040100000005000 0100016620001594   
0601SGA1d       20090101001045100000005000 0100016770001601   
0601SGA1d       20090101001050100000005000 0100016890001605   
0601SGA1d       20090101001055100000005000 0100017010001609   
0601SGA1d       20090101001060100000005000 0100017160001615   
0601SGA1d       20090101001065100000005000 0100017290001620   
0601SGA1d       20090101001070100000005000 0100017410001623   
0601SGA1d       20090101001075100000005000 0100017560001630   
0601SGA1d       20090101001080100000005000 0100017700001635   
0601SGA1d       20090101001085100000005000 0100017850001641   
0601SGA1d       20090101001090100000005000 0100017990001647   
0601SGA1d       20090101001095100000005000 0100018130001652   
0601SGA1d       20090101001100100000005000 0100018280001658   
0601SGA1d       20090101001105100000005000 0100018410001662   
0601SGA1d       20090101001110100000005000 0100018550001667   
0601SGA1d       20090101001115100000005000 0100018710001674   
0601SGA1d       20090101001120100000005000 0100018840001678   
0601SGA1d       20090101001125100000005000 0100019000001685   
0601SGA1d       20090101001130100000005000 0100019140001690   
0601SGA1d       20090101001135100000005000 0100019270001694   
0601SGA1d       20090101001140100000005000 0100019430001701   
0601SGA1d       20090101001145100000005000 0100019570001705   
0601SGA1d       20090101001150100000005000 0100019700001709   
0601SGA1d       20090101001155100000005000 0100019860001716   
0601SGA1d       20090101001160100000005000 0100020000001720   
0601SGA1d       20090101001165100000005000 0100020130001724   
0601SGA1d       20090101001170100000005000 0100020290001730   
0601SGA1d       20090101001175100000005000 0100020430001735   
0601SGA1d       20090101001180100000005000 0100020590001741   
0601SGA1d       20090101001185100000005000 0100020720001745   
0601SGA1d       20090101001190100000005000 0100020860001749   
0601SGA1d       20090101001195100000005000 0100021020001755   
0601SGA1d       20090101001200100000005000 0100021150001759   
0601SGA1d       20090101001205100000005000 0100021290001763   
0601SGA1d       20090101001210100000005000 0100021450001769   
0601SGA1d       20090101001215100000005000 0100021580001772   
0601SGA1d       20090101001220100000005000 0100021710001776   
0601SGA1d       20090101001225100000005000 0100021880001782   
0601SGA1d       20090101001230100000005000 0100022010001786   
0601SGA1d       20090101001235100000005000 0100022170001792   
0601SGA1d       20090101001240100000005000 0100022310001796   
0601SGA1d       20090101001245100000005000 0100022440001799   
0601SGA1d       20090101001250100000005000 0100022600001804   
0601SGA1d       20090101001255100000005000 0100022740001808   
0601SGA1d       20090101001260100000005000 0100022870001811   
0601SGA1d       20090101001265100000005000 0100023030001817   
0601SGA1d       20090101001270100000005000 0100023160001820   
0601SGA1d       20090101001275100000005000 0100023320001825   
0601SGA1d       20090101001280100000005000 0100023460001829   
0601SGA1d       20090101001285100000005000 0100023590001832   
0601SGA1d       20090101001290100000005000 0100023750001838   
0601SGA1d       20090101001295100000005000 0100023890001841   
0601SGA1d       20090101001300100000005000 0100024020001844   
0601SGA1d       20090101001305100000005000 0100024180001849   
0601SGA1d       20090101001310100000005000 0100024320001853   
0601SGA1d       20090101001315100000005000 0100024450001856   
0601SGA1d       20090101001320100000005000 0100024610001861   
0601SGA1d       20090101001325100000005000 0100024750001864   
0601SGA1d       20090101001330100000005000 0100024910001869   
0601SGA1d       20090101001335100000005000 0100025040001872   
0601SGA1d       20090101001340100000005000 0100025180001876   
0601SGA1d       20090101001345100000005000 0100025340001881   
0601SGA1d       20090101001350100000005000 0100025480001884   
0601SGA1d       20090101001355100000005000 0100025620001887   
0601SGA1d       20090101001360100000005000 0100025790001893   
0601SGA1d       20090101001365100000005000 0100025930001896   
0601SGA1d       20090101001370100000005000 0100026110001902   
0601SGA1d       20090101001375100000005000 0100026250001906   
0601SGA1d       20090101001380100000005000 0100026390001909   
0601SGA1d       20090101001385100000005000 0100026560001914   
