00BE               20081114                                                                                   
0601BEA0d       20090101001345100000005000 0000029310002175   
0601BEA0d       20090101001350100000005000 0000029470002179   
0601BEA0d       20090101001355100000005000 0000029630002183   
0601BEA0d       20090101001360100000005000 0000029830002189   
0601BEA0d       20090101001365100000005000 0000029990002193   
0601BEA0d       20090101001370100000005000 0000030150002197   
0601BEA0d       20090101001375100000005000 0000030340002203   
0601BEA0d       20090101001380100000005000 0000030500002206   
0601BEA0d       20090101001385100000005000 0000030700002213   
0601BEA0d       20090101001390100000005000 0000030860002216   
0601BEA0d       20090101001395100000005000 0000031020002220   
0601BEA0d       20090101001400100000005000 0000031220002226   
0601BEA0d       20090101001405100000005000 0000031380002229   
0601BEA0d       20090101001410100000005000 0000031550002234   
0601BEA0d       20090101001415100000005000 0000031750002240   
0601BEA0d       20090101001420100000005000 0000031910002243   
0601BEA0d       20090101001425100000005000 0000032110002249   
0601BEA0d       20090101001430100000005000 0000032270002253   
0601BEA0d       20090101001435100000005000 0000032430002256   
0601BEA0d       20090101001440100000005000 0000032630002262   
0601BEA0d       20090101001445100000005000 0000032790002265   
0601BEA0d       20090101001450100000005000 0000032960002269   
0601BEA0d       20090101001455100000005000 0000033150002274   
0601BEA0d       20090101001460100000005000 0000033320002278   
0601BEA0d       20090101001465100000005000 0000033480002281   
0601BEA0d       20090101001470100000005000 0000033680002287   
0601BEA0d       20090101001475100000005000 0000033840002290   
0601BEA0d       20090101001480100000005000 0000034040002296   
0601BEA0d       20090101001485100000005000 0000034200002299   
0601BEA0d       20090101001490100000005000 0000034370002303   
0601BEA0d       20090101001495100000005000 0000034560002308   
0601BEA0d       20090101001500100000005000 0000034730002311   
0601BEA0d       20090101001505100000005000 0000034890002314   
0601BEA0d       20090101001510100000005000 0000035090002320   
0601BEA0d       20090101001515100000005000 0000035250002323   
0601BEA0d       20090101001520100000005000 0000035450002328   
0601BEA0d       20090101001525100000005000 0000035610002331   
0601BEA0d       20090101001530100000005000 0000035780002335   
0601BEA0d       20090101001535100000005000 0000035970002340   
0601BEA0d       20090101001540100000005000 0000036140002343   
0601BEA0d       20090101001545100000005000 0000036300002346   
0601BEA0d       20090101001550100000005000 0000036500002351   
0601BEA0d       20090101001555100000005000 0000036660002354   
0601BEA0d       20090101001560100000005000 0000036820002356   
0601BEA0d       20090101001565100000005000 0000037020002362   
0601BEA0d       20090101001570100000005000 0000037180002364   
0601BEA0d       20090101001575100000005000 0000037380002370   
0601BEA0d       20090101001580100000005000 0000037550002373   
0601BEA0d       20090101001585100000005000 0000037710002375   
0601BEA0d       20090101001590100000005000 0000037910002381   
0601BEA0d       20090101001595100000005000 0000038070002383   
0601BEA0d       20090101001600100000005000 0000038230002386   
0601BEA0d       20090101001605100000005000 0000038430002391   
0601BEA0d       20090101001610100000005000 0000038590002393   
0601BEA0d       20090101001615100000005000 0000038760002396   
0601BEA0d       20090101001620100000005000 0000038960002401   
0601BEA0d       20090101001625100000005000 0000039120002404   
0601BEA0d       20090101001630100000005000 0000039320002409   
0601BEA0d       20090101001635100000005000 0000039490002412   
0601BEA0d       20090101001640100000005000 0000039650002414   
0601BEA0d       20090101001645100000005000 0000039850002419   
0601BEA0d       20090101001650100000005000 0000040020002422   
0601BEA0d       20090101001655100000005000 0000040200002425   
0601BEA0d       20090101001660100000005000 0000040410002431   
0601BEA0d       20090101001665100000005000 0000040580002434   
0601BEA0d       20090101001670100000005000 0000040790002439   
0601BEA0d       20090101001675100000005000 0000040970002442   
0601BEA0d       20090101001680100000005000 0000041140002445   
0601BEA0d       20090101001685100000005000 0000041350002450   
0601BEA0d       20090101001690100000005000 0000041530002454   
0601BEA0d       20090101001695100000005000 0000041700002457   
0601BEA0d       20090101001700100000005000 0000041910002462   
0601BEA0d       20090101001705100000005000 0000042090002465   
0601BEA0d       20090101001710100000005000 0000042260002468   
0601BEA0d       20090101001715100000005000 0000042470002473   
0601BEA0d       20090101001720100000005000 0000042650002476   
0601BEA0d       20090101001725100000005000 0000042860002481   
0601BEA0d       20090101001730100000005000 0000043030002484   
0601BEA0d       20090101001735100000005000 0000043210002487   
0601BEA0d       20090101001740100000005000 0000043420002492   
0601BEA0d       20090101001745100000005000 0000043590002494   
0601BEA0d       20090101001750100000005000 0000043770002498   
0601BEA0d       20090101001755100000005000 0000043980002502   
0601BEA0d       20090101001760100000005000 0000044150002505   
0601BEA0d       20090101001765100000005000 0000044330002508   
0601BEA0d       20090101001770100000005000 0000044540002513   
0601BEA0d       20090101001775100000005000 0000044710002515   
0601BEA0d       20090101001780100000005000 0000044920002520   
0601BEA0d       20090101001785100000005000 0000045100002523   
0601BEA0d       20090101001790100000005000 0000045270002526   
0601BEA0d       20090101001795100000005000 0000045480002530   
0601BEA0d       20090101001800100000005000 0000045660002533   
0601BEA0d       20090101001805100000005000 0000045830002536   
0601BEA0d       20090101001810100000005000 0000046040002540   
0601BEA0d       20090101001815100000005000 0000046220002543   
0601BEA0d       20090101001820100000005000 0000046430002548   
0601BEA0d       20090101001825100000005000 0000046600002550   
0601BEA0d       20090101001830100000005000 0000046780002553   
0601BEA0d       20090101001835100000005000 0000046990002557   
0601BEA0d       20090101001840100000005000 0000047160002560   
0601BEA0d       20090101001845100000005000 0000047340002562   
0601BEA0d       20090101001850100000005000 0000047550002567   
0601BEA0d       20090101001855100000005000 0000047720002569   
0601BEA0d       20090101001860100000005000 0000047900002572   
0601BEA0d       20090101001865100000005000 0000048110002576   
0601BEA0d       20090101001870100000005000 0000048290002579   
0601BEA0d       20090101001875100000005000 0000048500002583   
0601BEA0d       20090101001880100000005000 0000048680002586   
0601BEA0d       20090101001885100000005000 0000048860002589   
0601BEA0d       20090101001890100000005000 0000049070002593   
0601BEA0d       20090101001895100000005000 0000049250002596   
0601BEA0d       20090101001900100000005000 0000049420002598   
0601BEA0d       20090101001905100000005000 0000049630002602   
0601BEA0d       20090101001910100000005000 0000049810002604   
0601BEA0d       20090101001915100000005000 0000049990002607   
0601BEA0d       20090101001920100000005000 0000050200002611   
0601BEA0d       20090101001925100000005000 0000050380002614   
0601BEA0d       20090101001930100000005000 0000050590002618   
0601BEA0d       20090101001935100000005000 0000050770002620   
0601BEA0d       20090101001940100000005000 0000050940002622   
0601BEA0d       20090101001945100000005000 0000051160002627   
0601BEA0d       20090101001950100000005000 0000051330002629   
0601BEA0d       20090101001955100000005000 0000051510002631   
0601BEA0d       20090101001960100000005000 0000051720002635   
0601BEA0d       20090101001965100000005000 0000051900002638   
0601BEA0d       20090101001970100000005000 0000052110002642   
0601BEA0d       20090101001975100000005000 0000052290002644   
0601BEA0d       20090101001980100000005000 0000052470002647   
0601BEA0d       20090101001985100000005000 0000052680002651   
0601BEA0d       20090101001990100000005000 0000052850002652   
0601BEA0d       20090101001995100000005000 0000053030002655   
0601BEA0d       20090101002000100000005000 0000053240002659   
0601BEA0d       20090101002005100000005000 0000053420002661   
0601BEA0d       20090101002010100000005000 0000053600002663   
0601BEA0d       20090101002015100000005000 0000053810002667   
0601BEA0d       20090101002020100000005000 0000053990002669   
0601BEA0d       20090101002025100000005000 0000054200002673   
0601BEA0d       20090101002030100000005000 0000054380002676   
0601BEA0d       20090101002035100000005000 0000054550002677   
0601BEA0d       20090101002040100000005000 0000054770002682   
0601BEA0d       20090101002045100000005000 0000054940002683   
0601BEA0d       20090101002050100000005000 0000055120002686   
0601BEA0d       20090101002055100000005000 0000055330002689   
0601BEA0d       20090101002060100000005000 0000055510002691   
0601BEA0d       20090101002065100000005000 0000055720002695   
0601BEA0d       20090101002070100000005000 0000055900002697   
0601BEA0d       20090101002075100000005000 0000056080002699   
0601BEA0d       20090101002080100000005000 0000056290002703   
0601BEA0d       20090101002085100000005000 0000056460002705   
0601BEA0d       20090101002090100000005000 0000056640002707   
0601BEA0d       20090101002095100000005000 0000056850002710   
0601BEA0d       20090101002100100000005000 0000057030002712   
0601BEA0d       20090101002105100000005000 0000057210002715   
0601BEA0d       20090101002110100000005000 0000057420002718   
0601BEA0d       20090101002115100000005000 0000057600002720   
0601BEA0d       20090101002120100000005000 0000057810002724   
0601BEA0d       20090101002125100000005000 0000057990002726   
0601BEA0d       20090101002130100000005000 0000058160002727   
0601BEA0d       20090101002135100000005000 0000058380002731   
0601BEA0d       20090101002140100000005000 0000058550002733   
0601BEA0d       20090101002145100000005000 0000058730002735   
0601BEA0d       20090101002150100000005000 0000058940002738   
0601BEA0d       20090101002155100000005000 0000059120002740   
0601BEA0d       20090101002160100000005000 0000059300002742   
0601BEA0d       20090101002165100000005000 0000059510002746   
0601BEA0d       20090101002170100000005000 0000059680002747   
0601BEA0d       20090101002175100000005000 0000059900002751   
0601BEA0d       20090101002180100000005000 0000060080002753   
0601BEA0d       20090101002185100000005000 0000060260002755   
0601BEA0d       20090101002190100000005000 0000060470002758   
0601BEA0d       20090101002195100000005000 0000060650002760   
0601BEA0d       20090101002200100000005000 0000060830002762   
0601BEA0d       20090101002205100000005000 0000061040002765   
0601BEA0d       20090101002210100000005000 0000061220002767   
0601BEA0d       20090101002215100000005000 0000061440002771   
0601BEA0d       20090101002220100000005000 0000061620002773   
0601BEA0d       20090101002225100000005000 0000061800002774   
0601BEA0d       20090101002230100000005000 0000062010002778   
0601BEA0d       20090101002235100000005000 0000062190002779   
0601BEA0d       20090101002240100000005000 0000062370002781   
0601BEA0d       20090101002245100000005000 0000062580002784   
0601BEA0d       20090101002250100000005000 0000062760002786   
0601BEA0d       20090101002255100000005000 0000062940002788   
0601BEA0d       20090101002260100000005000 0000063150002791   
0601BEA0d       20090101002265100000005000 0000063330002793   
0601BEA0d       20090101002270100000005000 0000063550002796   
0601BEA0d       20090101002275100000005000 0000063730002798   
0601BEA0d       20090101002280100000005000 0000063910002800   
0601BEA0d       20090101002285100000005000 0000064120002803   
0601BEA0d       20090101002290100000005000 0000064300002805   
0601BEA0d       20090101002295100000005000 0000064480002807   
0601BEA0d       20090101002300100000005000 0000064690002810   
0601BEA0d       20090101002305100000005000 0000064870002811   
0601BEA0d       20090101002310100000005000 0000065050002813   
0601BEA0d       20090101002315100000005000 0000065270002816   
0601BEA0d       20090101002320100000005000 0000065440002818   
0601BEA0d       20090101002325100000005000 0000065660002821   
0601BEA0d       20090101002330100000005000 0000065840002823   
0601BEA0d       20090101002335100000005000 0000066020002824   
0601BEA0d       20090101002340100000005000 0000066230002827   
0601BEA0d       20090101002345100000005000 0000066410002829   
0601BEA0d       20090101002350100000005000 0000066590002831   
0601BEA0d       20090101002355100000005000 0000066800002834   
0601BEA0d       20090101002360100000005000 0000066980002835   
0601BEA0d       20090101002365100000005000 0000067200002838   
0601BEA0d       20090101002370100000005000 0000067380002840   
0601BEA0d       20090101002375100000005000 0000067560002842   
0601BEA0d       20090101002380100000005000 0000067770002844   
0601BEA0d       20090101002385100000005000 0000067950002846   
0601BEA0d       20090101002390100000005000 0000068130002848   
0601BEA0d       20090101002395100000005000 0000068340002850   
0601BEA0d       20090101002400100000005000 0000068520002852   
0601BEA0d       20090101002405100000005000 0000068700002854   
0601BEA0d       20090101002410100000005000 0000068920002857   
0601BEA0d       20090101002415100000005000 0000069090002858   
0601BEA0d       20090101002420100000005000 0000069310002861   
0601BEA0d       20090101002425100000005000 0000069490002863   
0601BEA0d       20090101002430100000005000 0000069670002864   
0601BEA0d       20090101002435100000005000 0000069880002867   
0601BEA0d       20090101002440100000005000 0000070060002868   
0601BEA0d       20090101002445100000005000 0000070240002870   
0601BEA0d       20090101002450100000005000 0000070450002873   
0601BEA0d       20090101002455100000005000 0000070630002874   
0601BEA0d       20090101002460100000005000 0000070850002877   
0601BEA0d       20090101002465100000005000 0000071030002879   
0601BEA0d       20090101002470100000005000 0000071210002880   
0601BEA0d       20090101002475100000005000 0000071420002883   
0601BEA0d       20090101002480100000005000 0000071600002884   
0601BEA0d       20090101002485100000005000 0000071780002886   
0601BEA0d       20090101002490100000005000 0000071990002888   
0601BEA0d       20090101002495100000005000 0000072170002890   
0601BEA0d       20090101002500100000005000 0000072350002891   
0601BEA0d       20090101002505100000005000 0000072560002894   
0601BEA0d       20090101002510100000005000 0000072740002895   
0601BEA0d       20090101002515100000005000 0000072960002898   
0601BEA0d       20090101002520100000005000 0000073140002900   
0601BEA0d       20090101002525100000005000 0000073320002901   
0601BEA0d       20090101002530100000005000 0000073530002903   
0601BEA0d       20090101002535100000005000 0000073710002905   
0601BEA0d       20090101002540100000005000 0000073890002906   
0601BEA0d       20090101002545100000005000 0000074100002909   
0601BEA0d       20090101002550100000005000 0000074280002910   
0601BEA0d       20090101002555100000005000 0000074460002911   
0601BEA0d       20090101002560100000005000 0000074680002914   
