00TG               20081204                                                                                   
0601TGA0+       20090101001725100000005000 0000040710002357   
0601TGA0+       20090101001730100000005000 0000040880002360   
0601TGA0+       20090101001735100000005000 0000041040002362   
0601TGA0+       20090101001740100000005000 0000041240002367   
0601TGA0+       20090101001745100000005000 0000041400002369   
0601TGA0+       20090101001750100000005000 0000041570002372   
0601TGA0+       20090101001755100000005000 0000041770002377   
0601TGA0+       20090101001760100000005000 0000041930002379   
0601TGA0+       20090101001765100000005000 0000042100002382   
0601TGA0+       20090101001770100000005000 0000042290002386   
0601TGA0+       20090101001775100000005000 0000042460002389   
0601TGA0+       20090101001780100000005000 0000042660002393   
0601TGA0+       20090101001785100000005000 0000042820002396   
0601TGA0+       20090101001790100000005000 0000042990002398   
0601TGA0+       20090101001795100000005000 0000043180002402   
0601TGA0+       20090101001800100000005000 0000043350002405   
0601TGA0+       20090101001805100000005000 0000043510002407   
0601TGA0+       20090101001810100000005000 0000043710002412   
0601TGA0+       20090101001815100000005000 0000043880002414   
0601TGA0+       20090101001820100000005000 0000044070002418   
0601TGA0+       20090101001825100000005000 0000044240002421   
0601TGA0+       20090101001830100000005000 0000044400002423   
0601TGA0+       20090101001835100000005000 0000044600002427   
0601TGA0+       20090101001840100000005000 0000044770002430   
0601TGA0+       20090101001845100000005000 0000044930002432   
0601TGA0+       20090101001850100000005000 0000045130002436   
0601TGA0+       20090101001855100000005000 0000045290002438   
0601TGA0+       20090101001860100000005000 0000045460002441   
0601TGA0+       20090101001865100000005000 0000045660002445   
0601TGA0+       20090101001870100000005000 0000045820002447   
0601TGA0+       20090101001875100000005000 0000046020002451   
0601TGA0+       20090101001880100000005000 0000046180002453   
0601TGA0+       20090101001885100000005000 0000046350002456   
0601TGA0+       20090101001890100000005000 0000046550002460   
0601TGA0+       20090101001895100000005000 0000046710002462   
0601TGA0+       20090101001900100000005000 0000046880002464   
0601TGA0+       20090101001905100000005000 0000047070002468   
0601TGA0+       20090101001910100000005000 0000047240002470   
0601TGA0+       20090101001915100000005000 0000047440002474   
0601TGA0+       20090101001920100000005000 0000047600002476   
0601TGA0+       20090101001925100000005000 0000047770002478   
0601TGA0+       20090101001930100000005000 0000047960002482   
0601TGA0+       20090101001935100000005000 0000048130002484   
0601TGA0+       20090101001940100000005000 0000048290002486   
0601TGA0+       20090101001945100000005000 0000048490002490   
0601TGA0+       20090101001950100000005000 0000048660002492   
0601TGA0+       20090101001955100000005000 0000048820002494   
0601TGA0+       20090101001960100000005000 0000049020002498   
0601TGA0+       20090101001965100000005000 0000049180002500   
0601TGA0+       20090101001970100000005000 0000049380002503   
0601TGA0+       20090101001975100000005000 0000049550002506   
0601TGA0+       20090101001980100000005000 0000049710002507   
0601TGA0+       20090101001985100000005000 0000049910002511   
0601TGA0+       20090101001990100000005000 0000050070002513   
0601TGA0+       20090101001995100000005000 0000050240002515   
0601TGA0+       20090101002000100002000000 0000000000002893   
0601TGA0+       20090101004000100095999900 0000000000003090   
0601TGA1+       20090101000000100000120000 0100000000000034   
0601TGA1+       20090101000120100000005000 0100000040000033   
