00SO               20071026                                                                                   
0601SOA0d       20080101001240100000005000 0000024750001992   
0601SOA0d       20080101001245100000005000 0000024900001996   
0601SOA0d       20080101001250100000005000 0000025060002001   
0601SOA0d       20080101001255100000005000 0000025210002005   
0601SOA0d       20080101001260100000005000 0000025360002009   
0601SOA0d       20080101001265100000005000 0000025520002013   
0601SOA0d       20080101001270100000005000 0000025670002017   
0601SOA0d       20080101001275100000005000 0000025820002021   
0601SOA0d       20080101001280100000005000 0000025970002025   
0601SOA0d       20080101001285100000005000 0000026130002030   
0601SOA0d       20080101001290100000005000 0000026300002035   
0601SOA0d       20080101001295100000005000 0000026460002039   
0601SOA0d       20080101001300100000005000 0000026620002044   
0601SOA0d       20080101001305100000005000 0000026790002049   
0601SOA0d       20080101001310100000005000 0000026950002053   
0601SOA0d       20080101001315100000005000 0000027110002058   
0601SOA0d       20080101001320100000005000 0000027270002062   
0601SOA0d       20080101001325100000005000 0000027440002067   
0601SOA0d       20080101001330100000005000 0000027600002071   
0601SOA0d       20080101001335100000005000 0000027760002076   
0601SOA0d       20080101001340100000005000 0000027920002080   
0601SOA0d       20080101001345100000005000 0000028090002085   
0601SOA0d       20080101001350100000005000 0000028250002089   
0601SOA0d       20080101001355100000005000 0000028410002093   
0601SOA0d       20080101001360100000005000 0000028580002098   
0601SOA0d       20080101001365100000005000 0000028740002102   
0601SOA0d       20080101001370100000005000 0000028910002106   
0601SOA0d       20080101001375100000005000 0000029070002110   
0601SOA0d       20080101001380100000005000 0000029230002114   
0601SOA0d       20080101001385100000005000 0000029400002119   
0601SOA0d       20080101001390100000005000 0000029560002123   
0601SOA0d       20080101001395100000005000 0000029720002127   
0601SOA0d       20080101001400100000005000 0000029890002131   
0601SOA0d       20080101001405100000005000 0000030050002135   
0601SOA0d       20080101001410100000005000 0000030210002139   
0601SOA0d       20080101001415100000005000 0000030370002143   
0601SOA0d       20080101001420100000005000 0000030540002147   
0601SOA0d       20080101001425100000005000 0000030700002151   
0601SOA0d       20080101001430100000005000 0000030860002154   
0601SOA0d       20080101001435100000005000 0000031020002158   
0601SOA0d       20080101001440100000005000 0000031190002162   
0601SOA0d       20080101001445100000005000 0000031350002166   
0601SOA0d       20080101001450100000005000 0000031510002169   
0601SOA0d       20080101001455100000005000 0000031680002174   
0601SOA0d       20080101001460100000005000 0000031840002177   
0601SOA0d       20080101001465100000005000 0000032000002181   
0601SOA0d       20080101001470100000005000 0000032170002185   
0601SOA0d       20080101001475100000005000 0000032330002188   
0601SOA0d       20080101001480100000005000 0000032500002192   
0601SOA0d       20080101001485100000005000 0000032660002196   
0601SOA0d       20080101001490100000005000 0000032820002199   
0601SOA0d       20080101001495100000005000 0000032980002202   
0601SOA0d       20080101001500100000005000 0000033150002206   
0601SOA0d       20080101001505100000005000 0000033310002210   
0601SOA0d       20080101001510100000005000 0000033470002213   
0601SOA0d       20080101001515100000005000 0000033640002217   
0601SOA0d       20080101001520100000005000 0000033800002220   
0601SOA0d       20080101001525100000005000 0000033960002223   
0601SOA0d       20080101001530100000005000 0000034120002226   
0601SOA0d       20080101001535100000005000 0000034290002230   
0601SOA0d       20080101001540100000005000 0000034450002233   
0601SOA0d       20080101001545100000005000 0000034610002237   
0601SOA0d       20080101001550100000005000 0000034780002240   
0601SOA0d       20080101001555100000005000 0000034940002243   
0601SOA0d       20080101001560100000005000 0000035100002246   
0601SOA0d       20080101001565100000005000 0000035270002250   
0601SOA0d       20080101001570100000005000 0000035430002253   
0601SOA0d       20080101001575100000005000 0000035600002257   
0601SOA0d       20080101001580100000005000 0000035760002260   
0601SOA0d       20080101001585100000005000 0000035920002263   
0601SOA0d       20080101001590100000005000 0000036080002266   
0601SOA0d       20080101001595100000005000 0000036250002269   
0601SOA0d       20080101001600100000005000 0000036410002272   
0601SOA0d       20080101001605100000005000 0000036570002275   
0601SOA0d       20080101001610100000005000 0000036730002278   
0601SOA0d       20080101001615100000005000 0000036900002281   
0601SOA0d       20080101001620100000005000 0000037060002284   
0601SOA0d       20080101001625100000005000 0000037220002287   
0601SOA0d       20080101001630100000005000 0000037390002290   
0601SOA0d       20080101001635100000005000 0000037550002293   
0601SOA0d       20080101001640100000005000 0000037710002296   
0601SOA0d       20080101001645100000005000 0000037880002299   
0601SOA0d       20080101001650100000005000 0000038050002303   
0601SOA0d       20080101001655100000005000 0000038220002306   
0601SOA0d       20080101001660100000005000 0000038390002309   
0601SOA0d       20080101001665100000005000 0000038560002312   
0601SOA0d       20080101001670100000005000 0000038740002316   
0601SOA0d       20080101001675100000005000 0000038910002320   
0601SOA0d       20080101001680100000005000 0000039080002323   
0601SOA0d       20080101001685100000005000 0000039260002327   
0601SOA0d       20080101001690100000005000 0000039430002330   
0601SOA0d       20080101001695100000005000 0000039600002333   
0601SOA0d       20080101001700100000100000 0000000000002396   
0601SOA0d       20080101001800100000200000 0000000000002502   
0601SOA0d       20080101002000100000500000 0000000000002694   
0601SOA0d       20080101002500100000500000 0000000000002821   
0601SOA0d       20080101003000100006999900 0000000000002997   
0601SOA0+       20080101000000100000080000 0000000040000052   
0601SOA0+       20080101000080100000005000 0000000040000048   
0601SOA0+       20080101000085100000005000 0000000040000046   
0601SOA0+       20080101000090100000005000 0000000040000043   
0601SOA0+       20080101000095100000005000 0000000040000041   
0601SOA0+       20080101000100100000005000 0000000040000039   
0601SOA0+       20080101000105100000005000 0000000040000037   
0601SOA0+       20080101000110100000005000 0000000040000036   
0601SOA0+       20080101000115100000005000 0000000040000034   
0601SOA0+       20080101000120100000005000 0000000040000033   
0601SOA0+       20080101000125100000005000 0000000040000031   
0601SOA0+       20080101000130100000005000 0000000040000030   
0601SOA0+       20080101000135100000005000 0000000040000029   
0601SOA0+       20080101000140100000005000 0000000060000042   
0601SOA0+       20080101000145100000005000 0000000110000075   
0601SOA0+       20080101000150100000005000 0000000160000105   
0601SOA0+       20080101000155100000005000 0000000210000133   
0601SOA0+       20080101000160100000005000 0000000260000160   
0601SOA0+       20080101000165100000005000 0000000310000185   
0601SOA0+       20080101000170100000005000 0000000360000209   
0601SOA0+       20080101000175100000005000 0000000430000242   
0601SOA0+       20080101000180100000005000 0000000490000268   
0601SOA0+       20080101000185100000005000 0000000560000299   
0601SOA0+       20080101000190100000005000 0000000630000327   
0601SOA0+       20080101000195100000005000 0000000690000349   
0601SOA0+       20080101000200100000005000 0000000760000375   
0601SOA0+       20080101000205100000005000 0000000830000400   
0601SOA0+       20080101000210100000005000 0000000900000424   
0601SOA0+       20080101000215100000005000 0000000970000446   
0601SOA0+       20080101000220100000005000 0000001050000472   
0601SOA0+       20080101000225100000005000 0000001130000497   
0601SOA0+       20080101000230100000005000 0000001210000520   
0601SOA0+       20080101000235100000005000 0000001280000539   
0601SOA0+       20080101000240100000005000 0000001360000561   
